 ,Value
1,754.120
2,689.636
3,600.701
4,513.784
5,478.446
6,472.425
7,541.168
8,584.426
9,579.384
10,391.696
11,338.308
12,287.398
13,435.572
14,442.073
15,279.696
16,252.064
17,373.973
18,390.214
19,408.028
20,467.614
21,408.664
22,316.613
23,160.272
24,283.678
25,319.663
26,357.977
27,250.632
28,213.836
29,225.267
30,226.278
31,215.285
32,350.438
33,449.783
34,570.464
35,573.408
36,415.143
37,293.757
38,300.269
39,253.154
40,276.743
41,242.669
42,242.944
43,161.912
44,91.857
45,34.812
46,16.613
