 ,Value
1,261.424
2,261.486
3,259.558
4,257.475
5,259.245
6,259.727
7,261.718
8,267.331
9,270.324
10,276.133
11,285.299
12,289.556
13,286.245
14,283.531
15,286.978
16,287.900
17,296.430
18,313.273
19,336.851
20,437.259
21,735.171
22,1188.656
23,1470.558
24,1330.668
25,1079.043
26,822.783
27,592.838
28,454.725
29,371.470
30,338.021
31,320.037
32,306.001
33,298.713
34,287.802
35,284.581
36,282.958
37,282.410
38,285.846
39,280.929
40,277.405
41,274.478
42,272.003
43,270.062
44,273.126
45,272.081
46,268.705
47,266.340
