 ,Value
1,806.099
2,1124.087
3,862.021
4,548.545
5,347.309
6,291.837
7,338.636
8,537.055
9,474.297
10,164.335
11,210.640
12,168.673
13,101.997
14,29.281
15,163.108
16,519.493
17,580.850
18,625.606
19,555.851
20,512.077
21,428.305
22,417.957
23,554.236
24,393.470
25,216.520
26,140.704
27,126.297
28,183.445
29,190.479
30,539.816
31,701.852
32,709.341
33,435.318
34,52.651
35,109.638
36,268.497
37,508.801
38,855.772
39,1191.975
40,1293.139
41,1245.268
42,940.891
43,378.228
44,310.916
45,413.067
46,567.165
47,536.809
