 ,Value
1,466.130
2,339.646
3,459.111
4,421.931
5,437.170
6,431.563
7,489.234
8,529.094
9,499.390
10,439.844
11,344.135
12,309.676
13,296.478
14,293.138
15,157.503
16,129.722
17,89.255
18,198.186
19,352.835
20,324.727
21,286.420
22,317.361
23,212.893
24,232.475
25,220.715
26,263.921
27,307.821
28,349.433
29,374.436
30,343.841
31,333.311
32,403.097
33,480.569
34,390.448
35,318.059
36,165.113
37,250.694
38,296.635
39,297.341
40,334.543
41,472.080
42,403.106
43,296.881
44,213.897
45,124.304
46,150.925
47,137.319
48,40.953
49,83.174
50,137.059
51,146.367
52,149.929
53,283.599
54,348.053
55,338.809
56,326.506
57,430.358
58,469.175
59,474.334
60,404.112
61,279.267
62,288.994
63,355.432
