0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
266.218,249.08,256.623,270.407,262.168,261.312,270.728,258.674,262.546,261.611,256.344,266.218,256.858,255.449,257.633,247.49,250.996,253.937,259.677,256.292,246.398,256.155,260.279,251.254,245.881,252.24,250.673,251.318,249.146,250.653,252.382,248.232,251.506,246.556,253.32,251.019,245.778,253.045,254.957,254.832,249.6,248.685,246.399,249.864,242.384,251.818,249.987,249.189,256.615,252.151,250.829,250.211,247.941,245.879,243.928,245.268,248.357,247.121,244.901,246.836,252.574,253.246,247.705,247.423,240.989,252.991,250.266,242.194,245.991,244.23,248.987,243.797,244.373,245.092,245.78,249.479,249.468,250.323,243.163,246.287,245.826,238.261,238.722,242.658,253.181,241.745,234.855,241.383,251.989,239.991,242.977,250.205,241.265,243.245,252.537,243.68,251.362,240.221,240.404,239.491,243.539,248.875,243.747,248.428,249.651,245.034,246.554,250.633,251.071,246.398,245.714,248.653,242.006,252.908,246.248,242.111,248.18,246.085,246.838,251.369,257.218,245.976,240.106,243.073,247.504,245.476,241.398,250.299,251.444,244.388,248.865,245.757,246.377,240.055,237.166,242.099,242.802,246.96,235.441,248.125,244.155,248.667,244.399,244.203,252.084,241.156,246.885,247.567,247.386,248.208,236.216,243.43,241.539,232.974,249.33,252.872,237.613,241.345,244.431,239.195,239.078,243.115,241.264,246.824,245.774,250.413,246.144,248.637,252.273,241.291,236.147,235.834,253.03,251.57,244.829,239.36,240.952,248.302,242.25,245.191,243.459
271.678,252.454,256.357,270.199,257.924,262.516,269.049,272.928,273.617,268.063,256.518,271.678,259.872,259.165,257.776,251.709,250.266,252.907,258.765,258.46,250.605,252.083,260.843,255.8,252.892,253.267,253.799,247.345,251.801,246.764,254.497,257.575,249.203,248.7,247.894,259.021,251.427,250.528,252.153,249.718,255.375,254.439,248.721,249.726,248.03,250.435,249.067,246.891,237.774,240.73,254.204,257.217,250.805,249.513,252.387,247.06,241.906,249.184,252.15,242.233,248.408,250.414,250.835,251.93,240.639,247.782,243.9,242.903,243.075,251.786,253.702,249.683,238.318,246.588,244.636,261.918,250.658,247.958,243.262,239.398,248.978,244.852,244.51,248.462,244.661,247.438,247.61,234.97,248.213,240.312,252.419,245.658,244.783,246.08,253.823,245.188,244.837,243.684,249.785,245.625,241.187,239.514,252.214,247.523,249.364,252.639,244.973,243.085,250.931,243.678,247.124,244.0,241.402,245.801,244.004,249.223,247.307,244.4,248.8,252.526,247.853,249.196,240.801,249.066,249.082,245.987,245.913,249.99,247.928,238.973,243.856,244.993,251.804,241.834,247.753,246.034,235.438,249.019,242.625,246.427,242.946,246.831,241.682,248.948,240.287,249.802,250.901,239.714,244.764,251.571,235.198,249.758,245.782,242.126,247.196,255.577,247.229,239.394,246.027,240.185,247.686,239.895,245.647,234.772,240.407,243.887,245.262,250.097,245.096,243.979,241.586,237.659,241.561,242.217,240.711,243.049,240.845,241.501,241.552,250.977,249.985
270.03,258.624,260.107,264.031,271.675,264.971,269.692,273.558,270.157,276.481,259.863,270.03,250.355,255.485,258.003,252.706,261.62,262.008,256.277,256.552,252.987,259.436,253.641,260.297,254.092,248.855,249.135,250.136,255.052,246.312,250.799,253.252,255.341,250.161,253.892,256.14,256.382,250.328,253.562,250.314,259.992,256.748,249.821,250.79,244.409,250.404,251.155,248.537,248.328,248.86,248.639,260.894,247.172,253.291,250.89,247.248,249.992,245.543,251.057,245.532,252.778,241.989,246.463,247.512,246.176,248.099,248.683,248.55,246.68,248.62,247.846,247.978,239.562,246.154,244.835,260.401,242.7,252.12,235.536,247.394,250.623,251.403,244.652,244.83,246.79,241.39,251.796,242.501,245.4,247.033,249.222,239.893,253.216,253.25,255.084,250.024,248.219,245.269,250.322,250.64,238.384,252.669,247.501,247.544,238.479,252.486,250.669,250.433,242.444,240.042,259.547,253.169,246.654,242.484,242.551,248.834,246.08,250.802,241.74,250.359,249.207,241.629,243.554,234.656,242.131,247.576,243.156,249.084,247.386,242.221,243.472,243.733,252.045,242.604,250.187,243.967,240.34,245.033,251.49,251.358,247.595,247.039,245.132,244.675,244.552,249.376,243.701,248.237,247.861,251.028,242.5,244.723,249.884,244.111,243.42,249.41,240.906,251.826,242.169,244.912,254.477,249.055,250.905,238.488,249.382,243.144,240.2,252.038,252.316,250.36,244.453,244.055,236.539,246.548,246.275,235.237,243.032,245.459,245.064,247.422,247.478
275.763,252.344,264.319,266.642,268.025,269.629,271.63,272.056,272.372,275.984,262.443,275.763,251.742,260.56,270.377,262.016,252.553,258.117,262.057,255.694,262.746,256.819,262.87,256.499,249.654,250.07,249.319,255.956,253.365,258.129,253.281,250.963,258.1,244.563,256.995,253.458,258.176,253.545,258.487,258.421,255.51,254.603,249.88,247.769,251.295,249.687,246.152,248.993,260.444,251.159,257.449,257.713,246.903,255.126,252.109,256.444,255.806,247.673,251.79,246.975,256.379,252.868,251.611,254.722,255.913,248.347,256.74,245.553,249.449,248.288,240.097,245.222,241.807,245.614,248.786,243.324,240.366,244.043,243.852,248.191,249.297,251.063,247.255,242.688,252.542,246.139,247.428,248.159,248.777,247.248,246.21,247.266,247.234,248.317,251.353,248.946,245.033,246.091,251.191,249.926,241.862,254.769,251.213,254.99,249.327,244.215,254.094,253.629,243.867,247.075,250.531,246.691,247.73,252.053,240.055,245.199,253.004,252.734,244.84,240.876,246.147,239.42,237.469,241.358,243.445,244.931,247.723,246.852,255.039,244.703,251.865,245.719,248.909,249.087,244.787,246.088,250.511,246.221,250.932,242.611,243.152,248.632,246.224,252.114,250.461,246.811,254.798,236.504,234.665,247.373,236.816,243.893,239.372,241.189,246.647,245.372,248.016,244.606,241.384,239.05,249.841,242.145,245.851,246.628,247.118,250.247,243.546,255.52,247.691,242.462,243.846,237.193,246.934,245.484,249.98,240.375,244.701,246.6,247.499,237.648,247.484
285.527,255.246,257.867,262.852,263.372,268.315,277.316,283.985,277.961,276.179,281.937,285.527,255.909,257.145,267.519,254.345,249.721,255.01,269.881,256.113,262.311,254.771,264.938,256.88,257.222,256.596,247.443,250.176,247.222,253.428,254.987,254.785,254.582,252.004,255.076,260.293,259.822,255.243,251.994,256.2,254.29,251.404,245.845,252.827,252.064,249.029,243.398,252.581,254.184,254.185,263.648,257.34,247.467,241.389,256.768,253.54,247.476,242.71,253.948,246.168,253.164,252.663,256.925,251.086,255.97,245.863,252.137,244.139,245.816,248.206,243.428,250.682,245.724,242.213,249.718,249.481,248.162,240.115,243.069,250.989,249.949,247.885,259.707,247.769,251.467,242.157,246.021,250.205,247.282,247.424,245.617,249.852,252.818,243.638,250.882,250.963,252.422,246.201,244.669,230.406,245.806,244.907,240.558,245.656,245.258,245.549,246.239,251.052,247.749,252.773,246.779,245.415,247.479,252.995,244.748,243.255,244.326,248.52,246.365,253.808,249.285,247.165,244.518,243.57,242.412,249.409,244.737,250.844,241.261,243.651,249.08,246.94,245.911,250.416,249.972,245.841,246.624,257.03,248.503,242.696,244.421,249.139,248.674,252.375,247.282,250.633,250.163,245.688,245.399,252.17,241.806,238.083,239.776,247.922,241.324,250.988,249.902,248.765,244.48,247.337,240.792,243.726,249.356,245.279,239.982,242.408,242.559,248.089,242.592,241.546,246.309,241.4,245.778,253.022,253.19,247.985,258.256,244.309,241.424,247.007,245.047
294.42,251.483,268.971,278.392,269.712,270.808,285.522,287.103,281.349,272.704,269.62,294.42,260.726,267.894,263.937,263.248,253.644,259.729,262.106,263.044,264.513,254.081,256.154,260.076,246.13,256.308,253.608,257.439,260.1,259.8,250.609,251.782,256.44,256.563,268.468,262.806,252.844,253.199,249.45,255.619,252.38,262.672,247.747,253.668,251.426,255.619,257.251,253.359,252.012,255.914,249.765,252.94,254.821,253.182,252.771,243.987,257.37,242.816,247.6,251.25,245.974,254.147,242.196,239.982,248.98,253.302,248.143,245.013,250.481,244.126,254.369,253.927,244.013,253.261,249.731,250.132,249.419,241.854,240.58,247.205,252.319,249.18,251.56,252.531,245.333,244.225,246.746,245.872,253.457,241.777,250.969,244.87,255.665,255.19,254.581,255.462,241.273,247.197,243.691,241.065,249.926,246.384,253.009,253.363,244.835,254.757,249.537,249.462,245.685,248.66,249.704,249.116,244.941,250.099,249.861,243.719,248.953,250.416,247.661,257.418,245.527,248.404,249.429,240.922,253.921,247.248,246.618,255.414,247.443,247.608,251.375,247.753,247.843,243.817,244.209,236.995,240.88,243.918,243.877,252.372,253.718,248.872,238.066,255.074,250.4,246.074,240.327,258.051,253.096,252.981,252.123,241.284,249.856,244.062,242.379,255.558,246.642,245.165,249.822,252.964,237.63,248.508,247.753,235.323,243.411,240.421,245.411,242.191,246.247,247.417,252.262,244.444,243.246,249.189,245.615,243.672,244.463,242.192,246.958,238.935,240.293
307.775,263.075,265.251,274.956,267.539,274.557,276.985,286.709,271.997,283.266,274.162,307.775,270.442,261.37,274.75,260.778,264.879,259.513,258.255,260.262,250.79,261.638,264.489,260.461,255.796,248.217,260.224,263.953,258.247,259.58,256.513,262.19,255.433,260.751,260.651,257.722,253.476,255.68,258.907,252.841,256.78,259.845,260.197,251.588,262.238,256.342,251.192,254.151,260.063,254.985,255.057,260.493,253.024,254.464,248.554,245.14,259.707,251.943,255.465,243.717,257.847,254.355,252.185,248.668,245.964,242.358,252.969,251.53,246.07,246.753,254.347,260.194,243.531,253.254,254.342,246.177,245.425,243.492,247.999,249.485,255.441,250.163,245.025,245.382,246.278,251.453,251.775,255.067,245.783,250.411,249.073,237.413,247.514,254.758,253.847,243.813,256.555,242.844,261.109,249.556,248.021,244.123,254.6,252.419,250.534,257.748,248.713,248.816,253.247,250.578,250.975,246.491,245.737,250.634,246.807,245.628,253.237,247.373,245.584,247.911,249.019,248.373,254.458,250.961,249.777,252.504,243.077,251.829,242.935,247.176,243.756,245.739,250.347,248.316,240.401,252.183,244.787,248.094,243.185,257.062,248.786,248.22,247.239,249.967,251.378,245.938,246.005,253.511,242.885,243.964,250.351,249.14,246.51,252.392,254.014,255.199,241.481,245.702,256.084,244.359,243.163,241.478,241.421,243.752,252.097,250.296,249.397,248.603,247.462,247.227,242.885,247.366,248.108,247.333,245.47,247.817,244.052,246.664,245.89,248.813,242.762
320.085,255.092,261.592,272.846,267.576,273.911,288.633,286.432,285.824,284.639,279.788,320.085,274.528,258.785,273.053,264.844,272.659,263.056,267.12,266.251,260.212,264.74,265.109,255.133,263.627,251.509,255.123,256.027,255.559,253.895,256.457,261.357,261.188,263.213,257.612,257.276,255.056,255.907,265.003,253.623,259.537,259.653,254.666,258.644,265.128,254.365,263.54,256.924,253.748,256.362,255.133,252.667,263.432,257.019,258.433,252.355,259.707,259.334,257.798,249.941,253.365,246.187,249.278,251.578,254.11,247.922,258.401,250.871,249.103,253.933,248.261,252.209,250.818,248.946,257.969,247.774,250.349,251.591,247.328,252.844,248.73,253.146,256.808,246.906,255.016,252.269,244.841,246.665,249.889,249.296,251.353,248.492,245.103,249.282,253.648,249.557,250.803,250.478,249.038,251.064,250.73,245.781,249.258,247.737,253.354,248.562,258.32,247.457,245.868,256.433,256.391,252.529,263.972,250.086,257.968,247.621,245.155,247.898,248.336,247.862,253.142,246.298,245.408,255.252,242.736,250.85,247.648,246.198,256.99,254.822,237.718,251.23,251.371,251.228,245.967,249.38,245.587,251.763,245.585,248.499,247.598,238.956,249.676,253.496,246.762,258.671,256.168,250.209,250.415,249.229,256.066,246.248,238.817,252.418,256.885,251.977,248.91,247.558,253.031,246.352,249.988,244.676,252.746,246.499,245.324,253.71,251.487,249.04,245.986,244.062,255.104,255.428,248.913,247.238,242.187,255.506,251.141,246.994,245.242,246.066,251.449
338.383,258.327,265.197,270.921,269.263,278.774,293.847,300.802,290.808,279.78,289.79,338.383,266.657,271.152,282.752,267.482,268.041,270.345,269.454,274.819,268.236,266.443,262.12,266.972,258.65,258.381,257.501,268.652,256.146,263.189,262.032,257.23,263.128,259.274,263.781,265.121,252.733,257.252,258.522,253.163,254.197,262.41,262.15,257.576,267.158,258.984,263.514,250.997,259.864,254.045,263.697,256.518,255.534,259.094,260.545,255.63,264.661,255.749,254.078,257.337,253.389,255.24,248.834,255.835,255.598,256.492,250.315,250.587,252.078,245.61,248.35,249.423,250.613,257.292,250.44,254.155,262.602,260.973,255.76,248.462,248.827,253.675,263.981,254.662,253.761,254.5,240.169,246.201,255.362,251.58,251.832,249.041,244.218,254.791,248.051,244.732,253.287,244.942,245.321,244.307,253.178,246.543,250.812,244.1,249.782,248.662,259.643,248.514,254.317,256.003,260.854,246.611,256.774,253.912,252.632,255.149,256.604,250.616,245.621,254.708,249.36,247.776,242.805,249.911,250.242,248.172,251.844,249.643,260.842,253.469,250.779,251.477,251.044,245.951,251.365,248.655,234.432,255.621,252.382,251.966,251.455,245.921,248.397,247.473,250.167,258.467,249.729,246.779,247.109,255.293,243.534,246.366,250.564,250.951,252.513,251.676,250.327,251.972,247.789,248.223,255.538,248.296,245.585,247.732,248.162,246.404,253.42,251.655,255.455,245.399,252.548,246.169,245.418,253.09,247.585,248.537,242.308,248.193,249.429,250.419,254.827
372.526,257.074,265.562,268.285,267.336,278.049,308.239,323.343,298.93,287.316,298.138,372.526,271.998,268.083,281.748,270.103,265.257,265.544,267.026,273.354,277.663,272.037,277.849,271.875,268.646,265.884,266.09,272.278,268.997,266.291,262.658,266.262,264.235,270.329,265.695,264.051,261.016,259.329,259.441,260.417,259.49,270.701,255.995,261.301,270.346,264.669,266.909,260.559,258.056,271.378,271.549,267.022,258.32,256.399,266.756,262.363,255.655,261.959,258.954,256.414,253.65,255.413,256.021,251.644,252.334,255.88,250.183,246.212,245.25,256.393,247.803,254.547,251.894,264.931,253.365,258.756,246.07,258.767,258.413,252.557,256.749,253.116,263.133,257.178,260.588,260.453,254.92,241.95,243.941,254.234,254.213,251.146,243.418,251.257,252.479,245.394,247.828,249.325,246.375,242.813,250.361,249.644,248.748,254.362,246.47,256.919,248.191,253.785,257.312,258.549,254.866,248.995,249.896,256.038,250.382,248.904,256.227,256.816,250.17,251.711,258.411,247.051,254.599,251.105,250.296,252.391,249.138,254.433,245.732,249.513,248.871,256.678,245.812,246.605,239.486,252.252,245.421,247.583,242.47,245.878,252.415,251.63,245.081,253.185,250.871,253.378,250.137,258.053,245.974,256.414,242.115,249.852,257.626,247.076,243.724,257.609,253.033,248.855,241.242,248.937,248.378,247.352,253.982,256.943,241.531,247.377,253.362,250.357,243.838,242.8,245.994,242.675,248.905,256.647,247.803,250.495,250.466,256.27,246.172,248.129,256.246
