0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
19.094,137.033,139.301,44.342,91.349,62.813,124.652,108.663,79.146,124.845,120.193,201.379,129.649,26.992,53.043,41.233,63.425,24.655,16.395,0.0,14.79,0.0,25.202,2.239,23.758,61.172,40.909,3.674,92.066,65.961,53.992,26.187,21.779,37.863,4.633,29.694,21.858,53.283,38.242,65.513,49.719,17.296,42.307,47.848,29.48,51.143,45.832,10.294,26.815,33.384,13.766,48.308,54.7,31.73,34.088,43.897,43.926,22.137,30.242,17.936,3.894,1.222,9.891,9.837,4.448,0.839,25.907,12.304,0.0,1.642,24.884,0.47,15.979,32.29,8.518,7.338,0.233,16.659,14.26,7.32,28.96,0.476,0.629,0.65,43.519,0.544,0.698,13.77,19.092,89.454,53.456,97.856,86.433,43.031,46.554,35.602,8.729,8.211,47.896,41.779,22.657,50.016,204.906,118.347,40.433,31.0,121.332,81.791,83.128,128.004,86.542,62.017,110.539,67.139,91.684,75.211,169.176,99.568,37.549,68.197,27.36,16.529,37.435,32.239,8.686,64.251,45.015,99.197,77.969,53.26,20.994,126.968,33.709,38.951,59.65,118.402,29.974,4.792,8.207,33.108,40.113,33.459,10.695,18.082,22.465,6.299,17.864,17.165,19.367,54.721,22.99,11.555,56.417,42.425,15.429,29.522,98.078,19.975,28.744,14.596,28.658,17.208,5.497,47.278,15.219,2.239,9.663,3.492,27.78,8.686,35.86,35.156,42.195,6.058,46.842,8.927,42.385,8.57,20.198,30.165,19.094
25.215,133.504,97.589,39.536,183.922,102.194,61.322,80.799,39.259,69.277,146.318,205.373,131.829,56.804,56.5,35.787,30.171,13.301,8.45,1.108,2.918,0.2,13.272,39.528,29.369,71.479,20.269,15.808,55.652,86.622,54.63,57.293,29.451,32.171,34.317,51.416,29.995,52.047,62.477,207.06,119.803,14.066,99.4,121.202,33.564,80.763,117.867,31.22,86.824,103.874,72.683,111.207,76.127,66.463,43.11,95.925,55.366,55.742,49.717,23.53,19.329,23.037,34.653,37.465,16.983,48.683,58.185,29.461,0.0,58.262,12.618,30.029,14.285,92.282,30.505,64.007,18.955,56.659,88.641,11.157,34.455,14.289,43.709,23.041,70.29,23.143,20.251,57.685,74.865,175.115,80.957,204.461,103.861,74.024,71.044,51.845,62.179,66.157,51.15,48.351,70.009,58.292,164.191,178.088,57.293,73.335,145.546,136.366,92.454,194.053,132.16,56.218,149.436,173.286,66.35,129.799,139.82,121.243,97.927,147.359,84.732,58.119,56.206,88.628,42.331,44.879,128.212,101.779,137.209,88.493,110.275,162.938,78.957,128.085,50.002,122.347,69.681,16.459,29.553,14.546,63.591,71.29,33.415,22.269,58.348,46.615,51.753,47.198,12.94,60.806,32.322,62.662,124.119,49.129,126.205,131.927,116.823,63.106,102.281,29.273,80.107,18.703,38.507,46.944,51.613,10.769,26.366,18.745,74.608,42.51,73.684,72.958,80.294,46.105,88.063,58.027,56.642,76.092,76.264,105.598,25.215
20.674,124.758,122.0,52.745,182.699,127.411,90.119,49.213,76.126,109.623,156.578,190.443,83.4,51.814,33.805,54.145,11.316,57.857,1.347,11.091,22.98,4.321,10.556,31.879,19.181,17.963,1.093,4.619,57.434,35.849,40.567,48.376,0.0,12.194,28.006,16.239,27.217,51.897,27.163,161.462,67.044,20.16,93.04,59.979,42.743,108.568,67.948,42.811,57.714,88.707,65.787,117.829,59.205,55.256,30.306,50.958,78.285,78.334,65.61,17.454,29.229,22.485,39.494,100.044,13.51,63.569,77.981,44.62,4.379,99.711,58.71,28.998,33.809,105.208,81.8,86.751,78.167,51.869,81.856,24.44,23.896,34.967,76.283,29.971,112.839,67.184,71.15,52.106,78.979,140.854,112.02,159.145,127.915,93.386,78.914,97.027,77.72,68.772,132.443,111.393,128.111,98.662,181.527,135.716,125.124,93.041,143.392,142.141,57.132,100.996,160.388,51.494,91.596,234.745,51.251,83.015,84.363,65.344,87.545,265.788,82.508,109.877,88.328,148.333,120.535,93.05,87.231,119.85,197.864,51.661,38.246,158.551,145.349,140.872,44.135,106.989,72.481,45.484,95.511,48.628,52.142,60.476,48.628,49.833,49.114,77.862,89.636,50.855,25.55,60.688,131.031,90.805,146.975,99.076,121.906,160.494,148.256,111.781,142.071,67.188,81.419,49.605,57.105,51.792,109.92,94.958,83.603,83.398,120.741,140.063,80.295,222.87,153.79,76.778,106.068,53.223,59.085,117.945,67.738,137.531,20.674
105.186,165.863,158.019,148.28,203.834,204.009,207.624,23.968,156.73,177.094,243.136,228.354,133.377,116.129,44.665,48.714,73.729,62.989,6.621,24.569,4.083,5.63,30.546,6.629,26.103,17.164,19.132,15.446,56.261,48.113,11.628,52.448,19.022,28.165,36.332,73.07,44.726,88.477,41.766,81.301,103.884,50.432,113.556,62.0,22.423,54.981,42.481,36.017,7.629,70.713,62.84,40.978,28.916,37.899,47.735,58.756,28.044,122.274,114.04,21.25,20.389,37.947,32.917,45.955,65.994,31.877,27.873,38.488,56.237,154.11,40.246,172.734,58.54,101.985,64.102,59.407,131.04,16.76,52.785,16.726,5.635,18.542,52.966,74.221,118.373,43.489,79.763,86.74,107.782,131.147,159.682,93.235,224.701,152.186,175.38,110.906,205.096,197.941,220.715,211.383,153.065,137.74,295.932,148.523,165.565,170.401,269.325,234.32,66.874,160.917,208.701,132.409,177.832,289.565,173.159,176.556,162.444,70.479,83.443,307.083,141.495,86.408,179.008,155.852,114.394,157.781,64.949,178.775,224.253,68.897,100.938,258.026,112.846,81.091,79.034,83.367,132.852,26.156,80.236,111.561,88.613,46.748,52.702,38.325,59.352,58.441,71.017,131.24,52.153,67.921,75.23,103.544,218.762,105.888,165.562,141.023,195.097,219.459,209.806,215.862,99.425,60.994,82.217,173.102,215.233,147.626,54.221,145.081,172.754,252.006,179.209,332.078,290.885,188.264,119.902,152.833,96.578,126.355,171.075,186.051,105.186
185.104,134.087,132.489,120.392,254.139,172.893,181.952,78.964,170.248,150.832,163.196,228.92,107.884,98.846,22.74,60.542,29.009,16.353,6.362,26.893,12.108,28.755,13.212,1.366,41.081,32.926,24.483,57.575,28.936,16.933,3.672,43.812,52.528,45.523,52.82,62.824,46.762,101.136,30.293,48.253,150.247,49.985,96.702,62.539,50.462,62.104,77.158,19.889,17.515,71.46,127.072,80.399,32.031,71.021,127.684,66.427,21.265,114.672,131.944,35.46,83.539,92.472,42.598,68.944,19.134,43.953,27.38,29.348,41.478,101.668,43.313,185.365,112.071,178.304,87.713,69.927,72.297,29.517,54.756,3.598,6.092,26.949,32.424,86.796,97.548,37.19,77.925,94.989,160.937,108.791,107.742,133.403,272.346,219.457,184.157,131.14,308.402,246.322,227.664,284.214,257.021,218.201,286.526,231.112,241.004,175.805,303.296,250.614,166.552,229.804,354.956,308.105,168.947,261.251,239.449,312.391,167.764,138.616,133.839,285.362,241.47,110.607,254.644,221.166,127.074,130.309,215.814,239.122,332.641,124.988,183.464,384.2,180.663,174.201,178.195,141.77,176.508,186.37,73.66,182.731,226.859,123.592,135.194,133.696,69.837,133.353,125.279,253.684,119.467,148.505,173.255,162.653,265.135,229.644,272.395,218.289,442.894,441.261,286.524,281.68,65.322,80.629,222.137,322.097,217.782,135.045,123.552,214.665,301.13,346.53,223.157,311.088,375.372,232.983,259.746,228.875,155.157,178.095,176.246,173.339,185.104
152.143,94.961,106.706,83.296,87.468,58.497,125.415,48.375,123.108,37.06,101.345,171.185,43.589,53.004,12.77,25.355,1.464,22.802,5.338,2.05,1.062,1.992,17.273,8.168,11.205,7.258,1.346,4.452,20.78,2.505,9.497,4.583,28.921,50.05,18.714,13.876,37.706,89.337,39.373,26.087,49.088,35.732,53.529,39.983,83.051,85.109,20.22,5.939,98.939,96.06,84.634,60.134,70.866,32.323,66.359,68.885,28.667,197.186,165.717,68.266,88.127,121.29,39.453,48.488,38.517,47.036,36.056,24.589,34.793,55.272,94.069,156.487,141.686,135.356,75.013,64.117,102.651,28.304,67.535,36.273,8.468,52.55,80.3,129.628,103.416,51.279,68.786,96.835,114.582,75.751,38.82,83.523,168.986,182.031,138.323,173.342,215.026,116.756,235.947,144.918,200.329,199.185,257.449,238.343,164.091,180.357,252.631,207.659,150.697,168.515,264.093,284.091,153.929,120.593,103.589,220.471,122.001,36.45,144.689,159.863,225.056,146.156,215.85,279.73,210.565,109.248,169.048,279.88,316.03,77.716,105.201,312.704,100.793,139.33,243.131,153.48,235.617,180.501,156.667,201.966,195.86,137.618,230.678,149.166,113.744,131.561,129.186,212.362,168.515,178.209,272.661,179.198,249.336,206.992,352.774,178.621,515.153,490.239,281.57,396.022,65.225,169.389,315.4,352.84,193.531,142.588,183.938,227.881,303.569,255.913,246.582,364.763,434.11,298.914,273.996,164.464,155.753,201.17,123.735,235.359,152.143
188.075,112.219,134.784,89.132,124.692,47.186,169.357,23.615,44.391,26.229,34.607,108.715,39.309,36.348,16.031,13.775,19.289,0.059,2.669,0.0,1.419,0.483,1.025,4.114,2.548,0.847,3.027,4.248,12.881,1.311,0.026,0.382,1.552,3.78,2.921,4.081,8.674,19.56,22.658,2.153,17.1,24.238,11.868,17.512,10.577,36.008,46.594,24.169,16.801,46.591,140.645,48.98,27.059,7.367,59.528,114.972,71.333,110.587,48.266,62.419,46.323,34.084,27.139,22.76,16.174,4.102,29.871,12.02,9.559,12.006,29.677,58.138,58.425,34.594,23.327,40.054,65.534,4.508,77.697,44.031,30.769,36.786,30.184,52.98,89.373,71.749,52.666,77.498,82.696,89.48,46.873,44.389,103.068,64.884,55.828,97.566,67.825,90.227,128.269,47.966,79.045,56.215,103.537,150.786,88.097,157.729,119.488,152.878,120.219,133.641,147.273,167.871,76.485,68.441,52.166,93.215,53.916,75.049,112.951,149.869,134.607,112.416,165.747,200.258,181.555,153.852,125.656,199.814,189.55,132.327,76.972,258.791,102.344,139.55,174.333,136.614,167.72,198.643,167.283,99.772,126.392,159.682,241.412,199.229,108.976,111.652,141.948,226.008,207.682,181.655,221.956,232.67,208.64,242.514,290.729,173.429,354.114,312.978,238.344,289.538,158.983,157.438,310.195,243.566,220.915,222.606,192.326,224.027,192.452,233.925,248.758,299.048,327.923,219.384,279.409,221.525,159.937,202.868,132.498,212.401,188.075
190.981,200.02,101.064,38.842,238.478,87.39,210.44,74.88,85.781,56.362,59.514,149.779,101.324,14.89,25.461,4.768,9.759,9.07,1.217,10.398,4.462,16.594,0.0,0.036,3.59,11.339,26.191,3.046,14.92,3.529,5.83,23.395,5.373,38.472,0.411,3.894,7.016,12.301,25.433,7.806,14.156,17.642,34.999,5.969,27.623,53.838,39.961,55.581,11.375,62.057,51.218,26.642,16.761,13.714,46.702,42.097,30.721,11.737,58.722,23.819,8.23,35.529,15.022,2.658,24.06,28.008,36.962,10.26,49.664,19.016,55.585,36.799,18.476,26.661,49.091,60.636,64.772,14.007,42.948,10.48,35.355,23.001,16.27,27.101,22.147,26.733,27.987,26.533,65.416,39.054,12.677,18.864,55.476,18.096,74.171,94.445,30.987,38.076,108.883,53.871,13.55,44.637,86.366,88.756,73.735,105.548,114.365,116.044,35.198,55.595,81.405,55.182,85.082,22.152,51.632,13.254,20.864,24.509,103.279,131.267,113.61,54.02,91.328,109.381,73.294,119.359,131.188,123.315,106.507,99.564,87.849,194.025,101.046,141.732,146.558,133.175,89.72,110.905,137.433,46.549,119.033,132.037,95.28,156.354,127.454,136.295,90.769,169.254,184.324,88.185,159.353,126.652,126.735,194.269,183.624,147.71,163.848,217.215,159.989,120.299,123.783,179.51,210.19,251.07,221.275,185.303,190.445,238.853,220.192,268.974,168.392,208.848,303.637,248.774,236.644,215.488,197.055,167.169,166.093,207.156,190.981
92.596,156.388,67.591,31.924,209.521,152.826,238.877,113.3,61.415,131.542,47.67,101.742,88.245,53.131,50.237,13.351,0.0,16.198,6.375,8.098,30.678,16.33,0.0,7.567,17.656,29.013,8.654,0.964,24.549,13.286,27.688,43.261,9.837,35.321,2.814,10.512,40.337,98.101,51.587,18.344,27.001,12.92,18.838,16.991,29.678,40.603,35.466,4.588,56.785,90.447,89.695,37.574,20.95,5.619,14.159,34.26,41.912,10.471,89.149,6.903,20.891,22.703,32.276,0.17,14.977,28.54,27.315,20.128,27.805,43.395,75.869,21.366,14.979,50.345,10.51,23.164,36.622,30.277,21.487,11.666,27.497,15.726,4.272,20.244,6.952,12.837,40.912,37.101,43.811,31.008,8.042,9.267,18.591,16.204,102.268,51.982,39.741,58.56,47.844,34.406,25.923,13.084,74.479,41.607,54.21,79.986,51.896,59.598,31.535,65.693,76.975,53.02,99.315,15.41,89.093,26.031,18.759,50.32,42.373,71.109,32.458,103.23,90.512,43.28,21.561,55.076,90.155,43.551,47.901,23.027,44.012,96.481,109.143,171.974,110.732,114.036,72.578,112.796,166.466,48.436,74.061,117.912,55.272,87.269,170.451,71.806,59.738,159.651,132.018,91.047,68.85,94.435,127.793,121.466,152.609,76.613,72.981,108.646,133.907,99.264,88.093,125.33,192.055,190.457,185.021,220.979,158.213,173.577,111.804,206.806,154.803,113.847,157.264,222.696,198.912,155.132,111.578,108.131,57.921,134.378,92.596
66.166,178.727,138.122,97.746,215.893,167.084,232.948,80.436,85.357,94.582,48.719,126.587,54.397,69.844,32.387,30.385,2.929,11.454,20.847,0.0,9.352,6.637,0.0,3.209,32.298,9.375,7.302,0.0,3.584,8.323,4.273,28.053,38.383,32.608,10.617,11.97,30.219,108.151,71.413,46.454,4.043,30.252,44.143,6.952,42.895,28.216,13.035,0.231,28.01,94.215,13.713,71.326,39.331,4.755,10.064,50.762,39.518,44.896,75.017,54.781,74.663,32.325,44.226,10.009,37.819,4.493,22.691,9.346,33.074,84.058,77.965,36.879,24.806,31.453,2.666,63.144,17.594,20.365,24.985,55.89,0.714,34.018,0.0,11.352,2.269,1.964,50.483,47.232,21.386,70.766,13.03,0.146,15.495,34.319,216.542,101.75,27.97,91.682,13.683,84.061,30.222,0.038,23.882,27.024,55.704,45.143,40.325,37.83,9.642,75.352,36.453,27.194,127.912,25.582,36.932,15.658,51.743,35.354,36.419,60.127,19.313,91.08,115.12,4.198,5.641,12.205,44.11,34.016,54.778,10.289,46.74,49.529,93.532,153.032,58.967,103.731,58.589,64.873,121.259,57.287,84.929,34.565,36.942,46.35,154.955,104.911,31.943,77.587,37.717,128.056,52.994,115.605,107.933,89.376,158.423,72.917,86.324,38.399,110.226,71.666,20.216,110.042,86.886,92.455,137.462,162.801,52.005,40.353,36.472,69.041,75.623,120.934,91.541,102.304,87.397,40.186,25.689,62.857,37.516,61.545,66.166
