0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
0.649,20.33,33.14,17.86,39.676,34.368,29.906,31.336,44.977,62.222,42.975,41.519,18.103,6.623,8.589,0.735,4.404,7.853,2.273,2.857,0.764,4.319,7.697,5.297,7.91,10.105,10.67,6.51,9.452,18.413,19.432,15.644,17.139,17.807,12.827,17.464,21.066,8.647,4.002,7.868,15.658,22.468,19.563,42.654,11.966,19.984,25.627,20.627,13.407,6.973,7.264,25.763,21.39,16.29,19.205,9.1,5.304,8.111,10.865,9.891,8.041,7.182,8.085,3.303,11.225,7.777,16.131,14.036,11.086,5.602,5.818,8.505,28.562,28.56,11.016,10.833,7.276,5.625,4.457,7.695,6.651,7.771,7.965,7.542,13.639,16.419,16.314,13.115,17.996,20.051,22.101,12.249,8.893,10.655,10.433,11.87,13.383,10.901,13.387,9.624,6.748,18.816,14.174,4.957,2.593,11.043,14.165,28.183,23.539,49.96,18.358,32.136,19.865,24.65,15.566,22.939,11.801,10.198,19.08,14.127,21.298,5.956,7.45,11.023,14.687,14.79,15.677,4.46,15.882,9.512,17.727,11.609,10.299,8.922,15.124,7.338,15.159,23.944,13.043,8.297,25.469,30.228,27.551,19.338,10.196,14.57,17.125,22.416,5.238,6.632,6.131,2.311,3.521,5.623,5.259,7.061,9.099,4.41,7.992,4.096,4.251,5.771,2.978,1.226,5.154,3.589,3.857,4.514,2.018,1.775,3.837,3.55,1.645,0.402,1.433,0.885,3.753,0.038,0.000945,0.217,0.649
1.445,20.921,33.707,19.787,34.446,30.096,28.313,29.944,33.908,52.587,41.017,35.017,21.431,3.334,5.776,2.665,4.151,9.946,3.747,4.353,3.065,5.554,6.527,7.285,6.426,5.945,6.518,6.692,6.837,11.033,12.184,13.894,17.07,16.249,11.411,11.933,12.772,5.723,2.205,9.98,7.488,14.851,8.625,36.013,12.051,14.125,24.555,16.5,15.38,12.851,4.15,18.289,15.958,11.879,7.76,3.426,2.755,4.833,8.783,7.117,7.661,4.397,2.637,1.978,7.575,6.183,5.936,12.926,9.676,10.037,4.185,4.966,17.895,25.534,11.836,11.033,7.806,7.817,3.856,6.616,7.216,4.126,5.016,10.432,12.019,18.813,19.441,11.174,14.879,14.43,28.021,9.524,12.968,15.042,11.38,16.806,19.465,10.489,11.784,10.067,4.636,12.706,13.14,8.021,2.074,14.584,14.591,21.834,16.789,46.353,24.734,37.017,26.464,27.617,8.497,28.843,10.301,6.799,17.081,21.32,16.501,6.679,4.81,13.879,15.1,11.872,32.886,4.056,13.999,6.002,11.122,12.375,8.382,12.175,11.718,8.793,11.738,15.644,12.521,3.211,28.718,34.716,18.962,14.609,6.991,9.362,10.285,16.596,1.913,6.254,15.012,0.541,4.175,5.47,5.038,4.01,2.116,6.524,1.314,3.822,4.941,3.9,1.783,1.822,3.411,1.409,4.885,2.443,0.744,0.069,1.352,2.643,0.912,0.078,0.319,0.198,2.572,0.299,0.267,0.104,1.445
3.808,13.876,29.26,17.931,35.047,22.665,17.325,21.965,21.906,38.002,38.327,24.959,12.124,4.072,3.191,4.668,1.285,4.175,2.881,3.392,1.208,2.147,1.015,1.934,5.183,2.038,4.64,3.055,4.075,7.116,11.164,5.935,7.792,11.302,3.211,7.831,6.087,2.17,5.429,9.17,12.537,13.682,6.699,13.287,12.692,6.994,21.949,14.325,16.603,15.176,2.393,15.984,9.709,7.769,8.266,2.818,6.664,3.339,11.794,10.388,5.529,3.883,0.78,9.571,7.704,5.581,7.699,7.889,11.475,5.86,3.905,2.546,7.882,22.508,15.043,15.349,16.569,7.507,9.598,6.849,5.953,6.236,9.689,6.256,15.898,22.793,20.466,16.5,10.322,15.11,23.324,16.04,10.113,16.518,17.507,21.652,24.337,19.109,18.448,11.242,10.073,15.421,10.624,9.587,6.729,13.119,10.081,17.503,15.993,41.039,24.443,33.533,25.823,24.115,11.882,31.707,9.459,11.485,12.818,20.284,17.064,6.113,10.28,16.881,20.512,15.809,34.236,8.942,17.811,14.327,12.719,12.478,19.381,19.33,20.725,18.976,15.678,20.879,14.516,7.244,32.843,34.315,23.007,20.5,12.088,11.969,12.318,16.973,6.803,11.139,14.841,2.608,4.495,5.468,7.443,6.51,10.34,9.164,4.834,7.512,8.014,6.422,3.081,3.237,6.114,5.067,3.648,4.02,2.373,3.424,1.412,6.869,0.316,2.772,1.453,2.913,3.245,0.698,1.857,1.789,3.808
7.906,8.57,33.845,12.925,20.21,18.548,10.872,16.017,12.85,34.85,35.257,15.406,3.43,3.713,0.793,2.255,0.833,0.552,0.877,0.991,0.321,1.371,0.995,0.821,2.909,0.695,0.874,2.007,2.779,3.839,2.419,4.505,4.556,7.561,2.867,9.351,9.766,0.133,11.127,18.33,15.409,10.918,8.331,7.794,7.837,4.122,16.501,6.423,12.076,12.392,4.311,10.725,11.507,11.5,6.711,1.766,3.834,3.129,5.289,7.506,5.343,7.104,0.281,9.821,8.409,8.938,5.717,6.487,4.585,9.712,4.574,4.385,8.824,21.647,10.054,18.945,14.816,16.696,11.619,5.386,5.74,5.99,10.434,8.148,13.873,16.449,23.245,17.985,11.664,14.427,17.795,18.376,12.905,18.695,18.133,22.372,20.993,20.329,29.0,14.089,15.784,22.448,18.681,13.204,16.029,14.226,10.833,20.4,17.283,31.739,17.992,27.839,21.449,23.832,13.751,25.503,14.538,15.855,12.889,15.099,18.198,10.207,10.071,17.48,20.905,18.044,31.205,10.372,20.591,17.565,18.001,18.218,19.508,20.933,18.183,15.084,12.242,17.736,15.65,9.273,27.274,33.696,30.907,26.712,8.612,5.92,16.875,15.572,9.283,9.597,13.339,3.374,11.273,13.168,11.721,6.014,12.912,17.122,11.765,17.626,13.733,5.919,4.985,6.094,4.451,5.788,4.765,3.463,4.832,2.918,4.047,3.293,1.777,4.951,3.783,6.243,6.278,3.389,3.028,12.772,7.906
12.885,2.336,30.809,16.285,12.113,14.031,6.766,7.22,8.374,28.384,25.445,9.599,1.07,0.876,0.258,1.29,0.284,0.0,1.228,0.0,0.012,0.244,0.203,0.226,0.084,0.392,1.844,0.787,1.047,1.543,0.629,2.792,3.188,2.239,2.156,3.949,7.235,3.124,8.851,21.658,11.58,9.422,8.388,9.634,3.286,10.356,5.875,1.43,5.094,6.314,5.258,9.049,13.396,10.819,5.642,0.381,2.382,1.331,6.959,7.834,2.417,5.545,0.383,7.082,14.59,12.165,8.679,8.366,2.7,14.029,8.475,4.961,6.82,25.672,14.102,16.052,22.713,20.267,18.662,14.057,14.045,11.937,13.172,11.123,13.72,18.232,23.597,21.524,17.152,13.739,21.644,22.012,16.177,17.003,23.429,27.541,22.345,22.382,35.933,19.484,27.83,27.402,28.428,19.665,14.004,20.212,8.83,16.466,9.606,23.466,17.705,25.4,15.579,21.305,8.596,17.015,13.487,9.022,9.992,21.694,15.167,7.301,10.767,18.327,16.678,18.384,16.027,10.703,17.921,18.961,19.475,26.1,24.661,20.331,19.335,11.537,11.245,19.935,12.757,11.403,18.476,28.031,26.85,22.003,7.723,9.245,9.036,17.722,9.176,7.698,14.439,3.054,10.969,14.215,13.517,10.799,19.296,13.983,13.195,17.701,12.272,9.962,16.006,9.236,9.316,9.591,12.889,9.212,11.26,6.428,4.392,9.05,7.873,8.11,7.249,6.61,12.653,6.017,6.475,18.475,12.885
15.302,2.77,23.839,16.249,8.045,16.946,9.875,6.498,8.701,30.534,15.582,6.113,0.043,0.0,0.028,0.142,0.0,0.0,0.295,0.0,0.236,0.28,0.0,0.619,0.008,1.655,0.366,0.248,0.546,1.405,2.097,1.307,3.347,3.421,3.959,6.969,5.936,1.492,11.294,15.735,15.545,11.48,8.661,14.193,6.295,11.228,4.396,0.536,3.696,1.466,3.01,6.657,7.605,6.375,5.832,0.726,1.561,2.168,5.844,2.854,1.136,1.565,1.345,3.535,10.148,9.747,9.352,12.018,6.341,10.443,6.912,6.344,11.23,26.545,11.393,16.85,18.802,22.731,17.946,17.959,20.23,18.898,14.101,15.683,19.231,24.477,25.952,17.749,18.792,25.415,25.608,29.417,23.094,28.45,24.549,33.624,32.406,27.352,38.867,19.033,31.57,37.082,35.384,20.463,11.348,20.023,11.027,16.614,14.822,21.069,18.366,24.762,13.796,19.971,9.429,21.309,12.895,13.521,16.15,12.686,14.713,11.881,14.224,13.882,17.228,15.505,24.689,20.442,20.047,19.409,21.2,27.979,29.068,25.411,17.486,15.796,12.73,14.849,11.182,11.959,18.939,20.295,22.788,23.296,13.695,13.668,16.519,15.898,11.671,8.911,12.261,10.587,15.498,14.699,15.349,8.962,17.655,14.758,13.337,19.288,10.963,14.944,15.293,10.375,13.55,13.846,16.598,12.562,14.703,11.751,9.105,10.96,7.547,11.324,10.51,9.506,17.645,9.624,10.482,22.543,15.302
16.426,4.992,25.716,22.64,9.628,16.457,5.487,3.676,8.282,25.081,9.826,4.836,0.0,0.0,0.0,0.0,0.0,0.155,0.884,0.0,0.449,0.986,0.0,2.964,0.237,0.184,0.252,2.691,0.3,0.535,3.818,0.479,4.121,2.223,4.295,6.048,4.186,1.492,3.925,16.304,15.862,11.673,18.383,27.752,18.113,13.663,10.222,3.971,4.36,3.872,2.216,7.098,7.953,4.662,7.096,3.442,3.791,4.444,6.34,3.849,6.308,7.202,8.09,13.253,11.429,18.153,16.841,13.977,14.851,18.981,14.873,18.024,13.93,29.922,15.57,22.111,17.747,28.203,24.601,17.718,22.22,22.564,24.007,14.644,15.025,27.94,19.769,14.696,19.573,24.85,22.137,28.151,22.649,24.594,25.863,26.298,25.256,26.358,28.844,23.248,23.915,29.191,31.926,28.104,17.823,21.201,11.137,13.88,20.443,25.385,18.562,20.157,16.019,24.16,12.191,21.943,16.377,17.026,19.115,13.793,12.676,14.475,18.277,18.417,22.753,29.476,23.44,21.639,22.647,22.161,29.416,28.655,27.8,23.021,22.024,18.919,14.758,21.119,9.537,8.544,19.503,27.915,18.427,19.724,16.621,13.69,17.155,17.252,13.346,11.761,17.924,13.933,10.978,11.889,16.168,10.977,15.786,15.891,11.05,21.297,9.662,12.306,13.194,12.186,13.208,12.435,12.06,8.484,9.26,11.893,9.194,10.551,12.676,10.338,10.166,8.912,15.975,10.453,13.43,16.921,16.426
33.586,4.825,28.047,21.958,11.931,17.463,9.078,7.182,15.877,26.098,13.131,4.896,0.189,0.019,0.0,0.0,0.138,3.169,1.403,0.768,0.089,1.097,0.0,3.375,4.44,2.154,1.681,9.667,6.444,6.756,9.528,1.833,4.493,7.738,6.646,5.455,7.482,4.175,6.333,23.239,31.818,25.272,39.149,48.341,36.992,28.533,30.668,18.229,16.19,8.673,8.205,16.384,21.001,11.377,11.92,13.587,7.228,9.57,15.621,17.075,11.833,19.504,20.89,27.12,28.814,27.623,24.998,24.666,24.451,40.305,32.688,30.99,28.694,42.236,31.446,37.73,28.804,34.288,31.52,28.322,31.351,30.562,28.786,26.105,21.819,29.812,23.47,19.739,31.575,26.525,22.376,27.611,24.961,27.399,23.833,30.497,28.716,28.874,26.624,16.953,25.124,26.558,26.858,31.283,14.593,23.333,20.906,18.81,27.433,31.035,29.994,29.745,25.584,31.098,15.001,22.694,20.677,15.73,21.965,16.128,21.228,27.16,27.64,27.64,34.831,38.72,35.898,31.705,31.336,37.456,35.307,30.36,32.065,33.793,32.359,19.369,26.617,26.702,19.99,26.716,22.732,28.91,26.824,34.105,23.43,24.311,23.534,31.518,19.608,19.529,25.434,22.832,17.167,20.577,26.98,19.521,28.017,19.453,17.156,25.774,23.699,24.408,21.754,23.281,21.526,24.343,21.395,15.667,19.09,17.124,17.73,20.208,23.85,17.456,20.637,23.263,23.708,19.409,19.943,20.362,33.586
26.078,15.635,34.652,32.067,27.682,22.324,17.695,17.375,30.307,39.956,37.151,7.852,1.033,1.6,1.645,3.507,0.924,5.588,5.405,8.927,3.047,1.624,1.288,6.995,9.862,5.388,11.197,20.176,15.198,17.471,19.753,12.075,14.902,16.781,20.639,17.076,17.544,12.767,17.677,25.988,53.78,57.493,63.509,63.453,56.887,47.925,45.177,37.533,33.982,20.382,23.928,31.292,31.197,30.973,19.242,21.536,19.026,15.637,26.305,30.964,23.655,25.76,29.453,34.048,38.905,30.727,32.184,33.334,29.492,48.766,39.904,41.335,30.581,46.8,44.546,45.451,35.487,36.247,39.165,35.59,30.391,41.355,36.024,31.031,26.59,33.409,27.212,19.346,34.012,32.705,33.01,35.884,29.718,34.358,26.631,39.232,37.376,41.796,31.228,17.769,25.486,30.506,30.138,26.808,19.468,31.059,30.413,31.261,27.936,34.373,38.54,34.904,34.342,35.4,29.248,29.588,26.582,26.799,35.639,33.803,33.305,31.064,37.028,42.563,40.85,42.881,43.186,43.029,41.194,42.33,37.471,34.809,35.769,38.959,38.773,27.432,35.725,32.883,24.14,34.614,29.641,34.204,33.398,36.915,27.723,28.845,25.114,24.336,19.421,21.02,17.568,24.219,20.72,22.435,24.419,18.833,26.512,15.869,17.92,26.883,16.141,22.187,16.84,23.3,24.731,25.253,21.528,17.352,20.986,16.675,21.209,23.925,23.531,18.064,22.891,22.092,23.772,20.13,18.616,24.701,26.078
14.565,32.318,45.486,42.483,43.457,30.05,28.655,30.433,42.973,48.013,46.636,13.986,5.413,1.656,2.401,9.176,5.374,10.431,12.657,13.308,7.929,2.464,5.678,16.338,12.429,17.047,14.111,23.008,19.661,26.462,27.921,24.849,15.889,21.217,21.52,31.134,29.494,23.386,29.7,31.094,62.333,58.597,60.173,62.956,51.819,45.392,45.669,36.734,29.983,25.093,25.829,36.473,37.426,27.528,17.338,17.992,13.531,17.078,31.38,33.922,25.772,26.904,26.711,32.665,33.843,31.262,26.54,30.777,30.82,36.599,30.049,33.714,32.317,39.802,40.448,38.014,29.28,28.72,31.731,35.261,27.918,31.297,37.026,26.868,21.067,25.687,19.381,20.595,28.413,33.895,30.365,31.94,28.895,31.021,28.659,38.906,34.447,38.141,30.124,16.675,21.414,29.971,26.041,33.667,24.211,24.412,19.991,28.862,24.616,23.96,33.115,26.452,29.668,29.114,33.194,25.701,27.728,29.914,29.269,33.325,27.832,25.193,30.139,42.147,35.21,41.431,42.231,33.749,36.599,26.945,26.468,28.471,27.601,39.754,38.013,26.326,28.39,23.969,18.755,24.974,23.03,25.406,29.685,28.483,23.542,28.244,18.612,14.371,7.356,9.591,10.238,11.613,9.108,12.122,19.956,10.365,13.269,10.797,7.118,11.803,7.584,7.985,9.958,14.168,17.091,10.679,11.448,9.253,10.576,11.45,18.321,12.64,18.278,6.686,8.929,8.878,12.188,12.578,8.808,14.135,14.565
