0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
9.377,31.748,36.894,60.394,55.092,52.223,62.886,45.69,52.179,48.578,41.282,48.124,51.993,60.498,44.42,41.291,39.173,53.675,45.782,44.876,21.878,11.894,11.892,9.027,14.526,19.895,11.98,13.322,2.286,0.061,7.705,9.924,18.396,33.079,0.611,9.609,8.709,9.51,15.394,17.846,27.396,6.633,7.498,21.668,14.424,21.989,39.039,44.656,24.654,29.954,22.483,22.516,27.682,35.948,25.469,29.846,48.444,44.141,44.551,67.745,43.959,41.011,28.031,23.213,22.692,26.198,28.698,54.21,38.13,66.309,40.239,30.991,31.398,16.516,13.019,18.002,14.365,42.091,27.249,1.853,1.836,3.973,2.229,5.698,2.74,2.725,9.097,11.653,9.236,8.431,2.478,10.62,16.169,20.424,19.559,24.021,48.777,44.73,20.803,36.347,35.709,17.712,7.21,9.646,20.962,13.212,11.901,14.774,29.648,16.253,12.196,7.876,38.534,18.562,10.938,9.007,31.072,9.09,12.692,22.167,26.041,30.832,9.947,6.093,13.863,8.8,9.522,19.413,5.434,14.208,11.843,23.33,9.136,22.06,14.01,22.43,17.753,24.624,12.868,12.413,14.593,8.817,8.874,11.409,20.038,14.82,14.911,19.716,31.147,21.886,25.692,17.388,12.853,12.871,13.1,11.565,18.219,20.265,17.435,21.085,14.265,7.699,5.637,8.514,14.757,10.512,11.131,9.242,8.996,10.669,13.523,14.697,16.528,17.22,18.72,16.362,17.057,13.108,13.671,15.991,9.377
12.774,18.227,22.566,52.256,45.448,41.164,44.317,44.125,52.169,54.587,47.368,48.326,57.891,63.145,54.757,49.4,53.506,61.927,53.303,46.539,34.523,32.649,31.84,30.135,29.98,29.116,19.276,19.775,12.502,6.556,5.528,13.269,20.567,17.235,0.416,12.186,4.353,7.906,15.657,9.539,12.348,2.504,0.325,5.267,5.649,7.043,21.058,24.443,13.818,15.088,8.173,14.061,14.302,14.454,8.733,18.744,40.305,35.457,29.019,44.827,32.054,26.097,21.463,23.16,19.348,20.023,26.528,34.538,24.383,40.985,25.741,29.83,24.45,12.723,20.514,18.488,10.505,40.438,28.465,5.996,2.842,4.795,4.853,4.148,6.113,6.862,10.171,13.411,17.444,12.002,7.189,17.35,20.827,29.473,27.601,28.47,72.205,58.776,37.376,45.669,53.371,30.088,15.423,23.618,21.773,23.544,30.89,24.924,42.653,36.563,25.672,33.281,44.548,35.307,35.423,31.683,41.37,23.53,25.379,32.883,31.354,34.758,25.261,20.085,25.419,23.768,38.825,42.217,15.451,20.509,15.801,33.306,25.197,39.401,17.842,29.335,26.615,26.216,19.272,15.668,15.253,14.09,14.108,13.086,8.887,8.748,11.244,10.877,14.675,11.516,15.143,14.291,7.708,10.648,7.252,12.925,12.811,15.42,14.601,16.104,17.242,10.768,6.861,13.241,15.49,22.469,17.65,20.36,15.175,16.448,19.99,19.905,24.586,30.37,23.864,20.697,21.785,22.708,23.996,21.781,12.774
18.408,7.569,10.249,27.261,35.03,26.209,25.067,24.968,30.183,51.483,40.289,41.123,44.544,56.747,48.212,44.692,57.009,48.733,46.592,43.741,41.706,42.797,43.319,47.799,43.366,39.94,36.227,34.936,33.365,26.225,22.643,29.887,45.895,23.194,8.625,23.79,20.94,21.487,34.986,17.475,16.176,9.085,6.076,5.965,7.791,1.848,12.319,12.456,16.057,6.386,3.214,11.404,6.628,6.087,14.371,8.986,12.835,20.816,15.075,18.471,19.493,9.387,10.63,10.483,8.58,6.225,11.557,9.346,9.274,16.851,19.838,22.755,12.635,5.056,8.073,7.152,2.161,13.748,8.194,10.427,10.017,15.535,11.501,11.977,13.96,16.609,15.136,18.528,16.832,17.882,17.735,15.904,19.965,31.939,28.475,31.057,77.147,52.837,44.85,42.814,52.843,27.816,16.661,33.499,23.466,27.456,38.501,29.642,52.734,44.387,35.95,44.417,45.454,36.43,57.255,44.453,47.317,27.017,21.047,32.709,32.157,28.848,33.675,21.765,30.836,29.203,53.771,60.78,33.045,39.33,37.548,54.098,49.114,59.03,31.481,53.838,44.836,36.326,40.759,39.527,34.13,33.892,27.454,27.55,14.334,18.797,16.774,26.43,17.752,22.389,19.097,20.098,12.319,14.235,13.622,22.504,24.254,14.497,24.368,27.473,30.473,28.31,27.565,24.833,21.359,31.327,27.305,29.547,27.744,18.379,24.781,26.1,32.088,30.471,32.831,23.621,32.386,26.947,36.236,28.611,18.408
43.97,10.918,12.347,18.677,33.593,20.63,20.296,17.857,36.885,54.342,35.739,29.241,28.201,39.488,26.704,31.421,48.037,41.393,34.33,31.667,29.594,34.958,32.609,53.825,32.784,37.018,41.433,34.154,37.072,34.475,43.077,46.034,69.013,50.434,29.701,35.596,43.126,37.826,55.706,50.473,38.962,34.209,31.708,31.22,26.291,14.826,21.55,20.004,28.67,17.03,11.113,24.272,7.39,5.719,14.814,6.545,8.696,11.754,5.089,14.821,22.313,12.016,12.43,8.814,10.082,12.109,8.021,11.259,6.961,14.34,24.601,20.795,17.934,20.771,12.02,7.87,7.336,7.236,5.505,17.189,5.905,12.715,3.63,1.941,7.468,6.502,9.317,8.862,7.493,9.883,10.383,9.188,10.386,18.285,21.811,30.462,59.648,34.54,35.728,17.129,26.086,20.726,15.718,24.797,18.977,14.555,24.137,33.295,49.038,37.874,31.893,42.784,40.781,34.384,57.036,45.093,50.02,30.639,21.409,23.585,25.449,22.318,28.847,17.592,35.33,20.497,56.354,57.654,35.876,43.02,52.137,67.095,54.443,62.506,39.186,57.547,51.739,36.932,50.956,53.466,50.607,51.735,53.729,53.515,35.248,52.1,46.038,56.485,50.248,36.889,37.591,39.81,27.893,30.199,31.729,51.992,45.833,40.422,59.518,55.129,64.053,73.88,64.325,43.204,46.891,54.89,55.704,50.718,50.346,46.831,50.874,51.475,56.947,57.875,57.385,48.696,57.725,50.392,58.028,49.497,43.97
66.378,17.986,19.089,24.899,27.149,24.633,23.288,21.441,41.685,45.585,33.093,24.032,25.78,36.351,26.696,23.141,36.515,37.268,37.528,31.932,32.048,36.21,28.851,57.186,32.958,33.207,36.593,29.171,29.989,23.896,51.93,42.384,53.138,52.725,36.492,43.971,53.049,42.454,53.52,66.829,59.383,59.106,51.874,59.816,46.114,41.9,40.547,43.514,48.885,37.199,33.644,36.825,30.726,24.109,27.293,20.965,30.318,22.362,18.895,32.465,31.925,23.062,16.913,9.735,23.522,22.593,12.304,22.829,13.766,24.266,23.257,20.053,22.793,22.12,17.89,12.306,16.217,14.54,16.672,21.902,1.526,6.192,1.762,1.352,5.914,4.351,6.784,11.934,5.35,5.671,9.008,7.538,6.839,9.065,8.5,15.269,30.101,18.473,26.888,12.95,12.521,14.512,4.959,14.856,5.525,8.838,7.912,33.943,40.376,26.157,29.637,33.423,26.46,25.562,47.716,27.507,35.121,36.988,21.233,22.654,18.54,26.507,23.169,18.894,37.734,17.297,42.03,42.141,46.08,49.964,62.199,77.441,55.943,62.003,39.568,53.315,47.797,38.238,47.128,52.828,50.497,52.022,53.661,53.843,43.208,65.524,55.273,65.429,67.8,37.023,36.037,41.821,30.615,35.388,44.188,54.944,56.573,56.731,77.712,76.367,82.182,82.015,69.761,55.434,63.253,62.44,64.116,71.734,67.699,72.688,78.901,71.057,76.546,80.268,79.151,69.767,91.214,76.177,80.116,78.731,66.378
63.69,9.233,16.72,31.939,34.158,25.475,25.928,21.788,32.316,54.885,24.694,24.875,21.531,30.425,23.289,26.469,26.173,34.159,37.526,39.194,35.952,37.697,36.48,55.682,44.281,44.013,39.169,42.091,34.496,28.604,51.772,34.459,35.785,51.621,28.477,28.943,38.334,35.302,37.78,54.036,60.842,51.811,51.194,63.583,46.507,47.119,47.241,58.221,57.781,53.279,49.828,54.279,59.212,54.115,53.256,45.311,53.836,48.23,51.113,54.385,49.403,45.5,36.836,29.317,51.493,43.19,34.051,38.423,33.594,43.542,44.215,47.384,49.952,39.621,35.752,38.647,38.682,44.37,48.274,27.945,3.477,7.037,2.126,3.234,10.202,8.453,10.762,16.932,7.963,8.941,11.771,9.215,11.57,10.596,6.281,8.76,17.849,16.396,17.551,19.277,15.894,15.747,3.209,9.783,6.055,5.453,7.006,25.706,23.351,18.389,21.123,20.175,13.961,17.01,28.525,17.903,21.116,28.746,18.837,14.666,17.448,17.553,9.183,26.962,27.575,8.369,23.747,27.36,40.202,41.816,42.53,58.659,41.491,35.141,26.388,35.601,37.923,30.058,34.572,52.431,41.776,45.434,51.099,51.732,42.463,53.076,53.851,52.639,51.596,36.665,33.021,41.289,32.537,37.443,43.407,48.9,56.362,56.859,81.086,79.951,79.138,71.18,57.264,52.357,52.251,53.034,61.077,57.354,61.583,75.379,75.019,71.776,75.945,74.711,78.767,75.448,88.524,66.789,74.421,66.104,63.69
44.638,8.947,5.319,23.185,21.862,11.993,18.031,15.887,21.507,43.537,19.945,26.614,15.042,21.017,19.754,18.225,20.768,24.631,27.062,31.364,28.173,27.442,24.455,39.948,43.082,36.197,35.346,62.67,35.587,36.929,54.7,43.32,40.677,54.423,34.41,34.359,51.019,35.955,32.949,34.814,43.941,30.279,40.068,44.369,30.828,31.461,34.592,51.854,51.743,42.322,44.072,57.237,62.313,56.787,51.184,59.178,57.268,68.598,80.814,72.015,63.023,63.743,70.178,62.326,76.799,70.271,64.533,74.021,78.034,72.705,91.873,88.673,87.816,78.313,80.23,87.943,71.864,82.884,88.265,27.868,10.283,9.03,12.142,15.185,13.677,15.71,14.235,22.022,18.797,14.258,14.954,11.652,16.11,17.677,10.617,13.447,16.304,16.48,15.463,12.972,15.802,15.696,10.548,11.698,10.502,8.889,11.986,14.003,12.769,16.262,10.622,10.288,11.759,9.051,13.886,14.262,15.046,17.789,15.325,13.79,12.989,10.721,5.336,35.255,28.615,11.093,18.266,14.199,18.508,27.897,24.335,29.716,20.071,18.096,14.285,20.149,24.642,22.445,28.306,41.202,28.084,23.879,31.829,38.033,24.564,29.596,31.97,33.002,32.543,20.082,29.351,37.023,22.216,26.84,33.222,36.179,41.587,39.991,52.795,55.793,59.441,49.695,39.797,36.479,35.309,42.968,47.068,51.528,34.105,59.839,55.804,58.183,54.804,53.482,63.795,58.234,67.242,50.551,51.899,44.543,44.638
24.929,16.732,13.863,24.481,15.645,8.994,6.352,8.27,9.114,17.245,19.718,7.397,11.749,7.939,13.934,10.141,9.033,19.485,15.596,27.593,10.344,15.208,7.61,26.627,32.547,14.483,17.009,46.698,16.152,18.236,35.037,40.439,32.087,42.51,26.2,32.431,49.193,36.838,20.808,19.846,21.175,19.755,19.977,23.299,20.94,17.147,17.896,36.489,31.097,24.996,26.7,38.178,41.92,39.087,32.648,60.766,37.319,58.81,73.17,55.738,63.613,66.983,83.849,70.148,84.642,84.625,79.4,81.801,83.612,85.829,89.956,92.26,92.958,86.86,95.818,104.898,90.587,86.241,96.391,30.209,32.288,28.795,35.563,35.152,35.721,30.973,43.635,47.641,58.231,38.888,33.667,29.694,30.121,35.226,36.725,27.443,30.498,33.488,27.122,26.118,29.458,25.671,22.63,16.718,23.225,21.656,26.823,23.663,21.961,26.346,19.551,15.299,13.538,21.979,12.461,19.914,23.388,18.516,18.669,19.199,17.515,10.211,9.5,33.386,27.943,19.628,25.933,7.835,14.726,36.813,26.866,12.656,20.528,28.472,18.122,22.609,26.555,22.91,26.32,33.074,34.814,16.37,19.428,24.094,17.487,15.39,15.278,16.932,17.633,19.655,21.653,33.785,10.153,16.604,25.24,26.473,21.734,20.497,28.954,29.078,42.885,36.234,30.936,28.15,34.486,30.041,35.843,33.924,18.214,32.41,30.653,46.434,34.281,35.564,39.71,35.643,38.375,37.646,34.67,33.214,24.929
13.145,20.343,17.995,17.148,12.896,12.437,9.516,7.943,5.643,8.557,22.518,3.469,4.346,3.742,2.557,4.147,3.326,9.781,7.044,15.476,6.859,9.169,3.899,13.191,20.364,7.621,11.714,29.392,6.216,8.662,10.114,23.658,11.082,14.912,7.466,16.986,27.175,17.517,12.271,7.418,12.666,15.968,10.976,13.751,14.077,10.538,13.137,15.262,18.866,14.326,14.002,21.217,23.607,29.81,18.866,52.307,20.503,37.642,47.075,39.305,47.719,58.68,69.88,53.191,58.97,72.959,61.282,64.295,72.238,51.347,56.255,62.778,70.418,66.231,83.014,94.742,79.994,58.515,67.841,29.845,62.923,51.906,63.381,63.469,65.025,55.646,85.046,80.217,88.444,76.192,68.185,59.706,59.967,61.96,74.908,63.14,54.863,56.019,53.469,52.646,55.152,46.274,49.805,31.601,40.118,46.995,58.136,56.605,47.995,53.437,41.99,35.835,34.902,38.164,25.092,35.751,40.116,28.743,29.698,37.484,29.555,20.94,22.312,38.307,31.891,27.243,32.482,15.796,18.596,45.0,26.306,14.318,30.697,45.639,24.603,27.823,23.343,19.9,14.919,23.933,36.344,29.587,25.506,27.317,19.629,15.369,15.107,13.76,10.29,17.671,20.636,26.782,5.937,13.979,20.753,31.224,16.486,18.536,23.384,27.923,37.376,45.442,32.422,32.716,44.822,24.601,41.39,24.918,20.657,26.821,27.77,32.207,25.611,26.091,33.789,33.043,29.482,27.979,20.584,26.863,13.145
12.757,22.187,19.013,18.269,14.939,17.774,12.659,13.127,8.911,8.386,18.273,7.794,5.769,3.624,5.264,6.592,5.316,5.533,4.016,8.047,4.698,2.392,0.909,2.094,11.098,4.173,6.196,12.836,4.979,4.852,7.642,10.772,3.148,11.417,3.569,7.092,13.936,7.228,1.356,2.552,1.747,16.29,4.907,9.463,7.816,3.47,7.152,8.944,7.546,7.123,6.465,9.537,11.732,23.101,11.265,26.967,13.422,21.993,27.343,29.159,32.282,45.922,46.642,30.371,37.237,50.332,43.545,34.959,51.418,31.355,26.474,40.108,46.911,38.147,69.735,80.684,55.402,31.647,38.207,18.004,53.793,47.293,53.527,44.778,50.805,49.897,74.947,80.338,71.386,60.405,56.511,52.679,59.254,56.922,66.206,52.336,49.903,57.69,56.499,54.492,65.066,53.257,55.855,41.005,41.523,46.757,64.502,75.377,59.526,65.016,56.218,61.176,56.642,51.219,37.486,41.827,42.45,32.014,36.879,43.474,40.5,29.492,30.097,45.386,42.607,41.667,41.076,36.527,29.697,48.27,43.455,39.318,43.097,58.849,38.481,41.036,42.691,37.084,28.809,41.207,40.002,48.588,46.33,32.164,28.063,15.153,18.48,10.116,5.773,20.356,16.243,24.319,12.329,19.276,20.114,27.701,14.043,16.801,24.501,32.422,42.458,42.321,27.949,22.391,40.831,17.407,46.786,23.37,20.831,30.333,27.399,20.452,11.531,19.569,29.254,27.585,20.018,17.244,16.483,20.407,12.757
