0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
18.651,121.525,328.028,118.834,148.521,34.44,40.656,95.415,48.615,30.718,78.999,10.385,10.613,0.996,1.231,1.368,7.33,8.243,4.549,13.458,5.27,26.911,33.04,53.272,49.008,84.054,89.238,144.795,74.342,161.676,49.605,124.011,83.28,95.716,132.599,185.278,227.272,271.584,172.282,142.091,188.079,187.742,131.347,129.748,168.284,168.085,212.382,197.104,113.894,188.923,193.434,166.554,198.108,180.984,249.543,121.011,210.921,177.08,196.243,238.275,215.857,207.45,193.962,184.89,229.848,175.172,118.314,108.508,218.449,133.631,150.032,90.798,150.721,104.806,117.367,149.658,166.66,103.939,196.078,224.107,108.455,116.194,100.134,110.877,98.752,160.28,153.081,94.284,105.989,121.402,99.207,92.251,39.764,115.288,129.761,64.559,48.576,63.263,82.203,82.374,35.937,47.461,52.802,47.061,105.672,37.2,38.392,67.59,22.599,49.577,12.353,38.202,49.871,12.794,42.623,11.544,6.053,21.265,8.063,5.048,4.611,14.897,11.793,27.916,3.709,27.585,1.107,1.458,5.187,0.249,5.806,13.087,8.612,0.0,3.114,3.048,3.96,1.291,7.902,8.607,3.268,4.688,5.539,16.395,12.474,1.943,3.981,8.331,5.09,51.338,4.962,11.694,8.039,3.493,20.152,10.07,23.653,22.672,18.373,15.216,24.683,35.749,7.851,13.083,7.934,25.345,27.215,11.44,1.081,2.564,10.445,9.95,8.201,17.007,7.528,20.171,5.271,6.503,20.946,31.187,18.651
23.488,111.78,227.064,63.364,188.295,65.7,32.813,104.051,76.181,41.569,95.149,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,2.743,0.543,3.078,0.0,0.724,0.0,7.412,14.741,42.542,20.068,37.637,24.102,42.63,53.173,58.506,51.74,87.592,151.517,154.366,116.871,92.849,154.417,195.805,67.238,51.344,110.909,75.049,107.3,130.586,59.869,57.941,192.68,77.734,123.206,139.989,149.448,86.116,101.187,104.098,136.555,154.464,199.237,127.913,102.515,173.437,114.626,62.11,68.963,114.843,200.138,124.474,187.227,119.297,152.317,114.814,88.28,122.961,97.688,139.988,146.686,167.893,148.446,90.86,97.433,107.345,130.425,209.55,119.67,110.072,110.625,146.533,109.963,146.562,83.265,151.985,174.023,93.485,162.25,83.63,94.73,92.756,97.729,22.699,68.341,38.476,85.329,77.204,91.248,118.689,66.215,61.172,36.744,97.027,92.449,56.768,87.122,32.687,55.009,59.373,31.395,37.772,34.634,58.027,74.302,42.791,83.901,61.564,16.674,48.841,41.625,10.573,71.599,31.083,51.414,17.735,34.535,14.788,19.394,54.173,62.714,12.709,8.973,9.236,8.976,37.19,60.733,6.298,30.208,46.34,19.336,30.725,49.122,7.721,18.734,3.848,11.182,28.154,6.874,16.212,23.326,25.316,5.725,17.925,26.107,59.359,5.661,36.882,3.878,0.089,1.346,5.798,3.766,11.019,1.894,1.413,5.899,11.966,0.005,5.107,7.724,6.132,23.488
20.997,52.49,80.008,70.424,228.678,25.703,33.668,40.475,44.217,73.252,45.298,1.215,0.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623,0.0,0.734,4.094,4.017,2.408,0.282,7.832,26.744,16.608,27.486,51.888,68.354,90.037,35.768,106.433,104.345,58.38,20.944,22.781,7.835,65.385,16.952,38.806,30.225,139.366,41.945,59.652,36.749,44.778,40.28,47.566,31.982,101.269,120.419,89.574,69.815,68.015,69.467,41.878,50.546,9.16,35.189,143.284,113.547,85.005,52.068,46.391,83.989,86.493,56.787,102.973,111.082,79.6,68.924,141.654,79.542,99.887,50.537,106.117,141.435,86.995,89.824,78.252,88.815,75.725,101.666,29.227,147.076,133.015,121.691,118.063,83.31,139.329,76.981,116.369,97.638,63.903,14.251,50.402,115.021,69.149,116.762,145.507,78.997,64.773,142.726,119.093,116.212,80.68,92.878,98.629,73.974,83.294,36.017,72.357,55.992,126.439,55.424,133.623,68.578,63.711,37.545,64.58,46.451,91.886,72.608,63.643,5.754,102.385,100.894,115.193,164.591,119.341,126.326,86.115,43.177,77.763,140.617,58.617,77.344,81.329,114.799,86.24,92.048,123.588,39.116,90.331,47.349,51.558,88.819,24.731,41.813,52.913,79.82,36.246,51.024,81.167,72.286,66.729,35.523,39.548,16.739,33.123,79.602,76.811,42.555,28.037,20.761,41.425,43.416,9.852,13.564,8.439,8.507,20.997
77.933,23.201,35.78,112.667,244.394,74.503,42.688,86.989,66.483,80.597,20.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.772,0.0,0.0,0.0,0.0,0.443,0.0,0.0,0.0,1.301,11.114,9.034,4.963,2.519,33.357,17.337,30.221,42.571,29.143,31.733,8.719,21.366,10.011,9.485,0.0,7.592,31.291,18.906,5.675,19.11,1.865,1.038,2.492,4.595,39.303,59.776,19.077,23.55,19.505,26.099,4.132,1.577,0.243,3.522,53.669,36.85,31.204,30.27,40.87,27.868,39.239,15.083,37.801,40.322,68.276,32.27,52.508,69.322,39.251,62.553,69.128,47.286,34.593,28.487,45.159,32.664,36.678,20.186,25.729,75.963,84.783,91.297,58.683,25.933,142.421,41.597,37.738,60.165,46.117,34.115,50.901,90.965,55.417,64.225,43.828,98.873,72.145,136.882,150.183,109.037,29.219,87.487,122.062,60.455,55.048,57.343,32.72,82.918,176.193,96.101,143.445,90.342,52.262,53.396,94.0,55.655,53.582,109.885,119.565,69.717,98.351,177.795,110.367,179.54,209.723,155.129,152.941,154.901,137.595,132.572,100.749,90.3,199.092,171.698,160.704,202.696,88.42,101.221,89.612,124.374,151.708,69.739,66.927,194.78,139.275,106.563,94.541,122.231,155.051,197.505,127.165,127.055,112.614,60.566,134.168,145.38,175.222,102.047,79.1,110.173,152.71,79.203,78.459,107.253,66.6,62.934,77.933
107.67,15.149,41.429,100.559,230.383,49.001,64.074,92.453,72.863,109.664,50.648,0.0,1.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,4.7,22.02,0.0,0.0,0.0,0.0,0.757,0.0,0.0,0.0,0.788,0.0,0.0,0.0,1.316,6.211,0.0,3.594,0.56,1.392,14.736,0.045,11.169,1.501,1.649,0.0,0.401,1.174,1.392,0.0,1.104,0.0,0.0,0.0,0.15,10.115,7.975,4.228,4.004,0.196,0.0,1.458,0.282,0.139,0.76,0.706,0.0,4.068,4.195,17.1,4.074,6.537,0.757,16.266,2.345,10.033,8.234,15.808,23.465,22.402,6.521,6.755,7.062,31.032,18.596,6.451,0.0,30.167,4.975,27.945,7.446,40.534,52.449,81.264,36.026,66.695,12.168,32.527,8.496,30.012,11.646,73.586,80.497,61.32,60.585,30.934,47.174,40.919,141.355,64.663,62.988,27.888,76.242,155.561,105.815,35.366,111.607,47.041,102.15,113.376,87.644,74.466,138.747,58.61,111.744,97.682,59.891,55.21,110.905,148.481,56.269,195.104,150.61,101.317,207.983,223.516,153.375,110.688,164.147,120.515,111.691,151.453,122.192,155.628,128.446,212.426,102.708,65.886,121.717,91.928,131.141,125.899,103.232,67.961,192.516,165.46,108.55,177.07,162.149,112.815,249.723,117.139,167.351,122.821,91.214,231.779,216.999,219.845,158.86,135.806,155.846,138.27,201.655,132.387,98.033,82.419,97.151,107.67
117.014,86.251,113.383,87.766,206.062,64.54,69.237,91.406,104.561,139.818,86.862,0.0,1.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.061,1.25,0.0,5.317,0.0,0.0,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.336,1.565,0.134,0.318,0.376,17.258,0.403,17.137,0.158,9.299,0.0,3.268,2.666,0.0,0.07,0.129,0.548,0.0,0.0,0.0,13.069,0.0,0.0,0.0,5.716,0.952,1.952,1.949,0.0,0.937,3.461,7.695,0.816,1.908,11.541,6.054,51.928,1.839,6.707,1.462,3.867,15.626,16.806,56.276,29.269,1.696,6.627,0.96,34.33,1.978,23.217,18.798,6.983,13.068,51.521,25.745,2.201,61.164,19.914,33.897,84.95,48.395,35.499,33.708,23.551,12.67,43.545,40.22,24.868,61.814,40.391,38.42,106.277,182.435,139.366,53.788,40.635,47.883,112.011,85.262,2.418,103.769,58.55,131.039,125.406,184.332,73.405,140.901,38.693,26.344,95.026,58.58,61.774,45.649,99.897,93.694,131.731,100.634,108.843,134.916,176.737,121.817,67.26,91.53,104.808,71.441,127.229,102.672,95.158,87.015,176.408,44.981,45.113,77.491,81.969,50.91,66.008,68.268,65.695,148.474,137.698,125.179,158.374,144.728,114.561,166.002,151.68,135.461,181.549,156.088,202.078,265.54,258.229,125.726,121.876,159.737,68.546,228.507,158.019,64.078,80.025,127.255,117.014
139.69,168.829,165.989,148.611,311.074,147.013,157.046,215.932,155.888,120.529,172.485,0.0,4.082,0.0,0.0,0.0,0.0,1.599,0.0,0.0,0.0,0.0,0.0,22.629,0.0,7.042,57.983,0.0,0.0,1.268,0.0,6.53,0.0,0.0,0.0,0.0,0.0,0.0,0.406,14.11,6.394,1.469,8.313,6.016,2.383,6.46,13.949,16.233,0.486,3.531,4.528,0.0,3.325,4.682,26.087,3.666,0.0,0.0,0.76,0.0,0.0,0.0,1.698,2.016,17.451,23.061,0.0,18.405,23.809,2.286,6.758,8.776,27.924,7.947,68.739,45.059,11.151,6.728,17.674,26.963,6.808,50.271,64.322,40.987,19.697,26.341,25.388,39.836,41.187,31.186,32.69,38.872,86.383,69.836,23.361,70.024,18.739,68.273,57.807,71.427,94.449,91.996,99.364,16.264,82.182,72.571,77.692,101.832,159.574,106.53,186.877,212.538,226.854,117.862,92.025,102.27,193.16,124.566,68.735,104.938,83.489,129.109,182.958,202.675,115.45,180.299,54.116,66.271,62.976,105.378,80.393,64.105,81.181,105.851,114.761,106.763,59.732,69.134,69.833,55.397,70.258,92.709,35.309,48.503,175.812,37.742,59.7,104.932,54.21,105.284,46.393,46.977,74.138,38.768,74.371,60.444,33.688,88.958,172.217,119.257,142.08,124.807,135.406,174.799,209.836,174.921,212.587,185.054,219.371,303.486,186.805,126.496,141.71,110.693,146.666,130.852,126.132,92.182,62.278,105.922,139.69
167.715,283.966,264.741,316.099,377.876,214.013,271.367,255.506,364.052,297.091,285.06,10.694,45.319,10.365,12.765,3.112,7.46,5.779,1.108,3.85,0.0,11.444,2.507,8.894,0.0,81.198,90.939,0.422,2.819,0.0,2.658,2.799,0.0,0.0,0.0,0.322,11.816,12.646,0.0,33.899,36.705,38.91,9.283,35.079,45.013,44.751,33.875,56.515,10.958,10.126,23.015,7.288,29.592,16.453,29.23,26.947,26.407,3.864,19.223,36.412,28.14,17.714,21.605,26.806,40.274,36.4,38.354,41.243,26.1,47.238,38.912,12.888,118.821,36.507,104.509,49.758,56.89,70.687,63.661,80.414,59.614,84.479,60.211,61.193,84.61,89.338,51.649,60.247,56.016,47.172,37.077,50.093,97.019,61.755,86.253,67.087,97.78,106.63,62.958,63.626,120.004,130.477,98.43,44.174,123.521,161.344,118.103,142.785,169.163,146.2,181.233,175.384,193.458,93.507,129.157,167.309,172.37,142.576,153.958,129.066,141.303,156.494,154.016,251.976,197.478,242.78,134.449,100.413,105.407,168.64,115.486,92.376,131.783,168.104,143.252,165.052,143.886,89.359,157.811,125.971,76.078,87.246,47.083,42.266,184.314,107.552,33.04,55.049,129.338,118.335,93.954,110.405,79.325,35.241,55.367,61.843,110.173,160.2,240.024,154.617,158.026,226.097,170.34,220.797,233.388,235.697,274.607,221.648,305.284,261.848,229.517,181.436,136.179,98.165,194.943,157.319,174.267,177.974,132.556,136.357,167.715
152.544,378.496,432.825,396.581,322.376,201.794,328.387,293.681,430.631,354.854,442.517,69.543,72.925,66.084,26.484,19.779,30.316,14.15,51.926,26.776,29.817,44.532,59.728,21.94,10.585,109.429,111.103,4.808,2.197,4.806,1.422,9.989,5.719,12.904,0.0,13.959,20.498,4.316,14.279,67.682,111.943,80.766,48.495,120.982,42.432,124.022,51.881,57.295,58.351,12.619,49.447,71.452,89.545,17.781,54.988,49.825,99.067,50.648,71.545,141.419,54.853,78.44,77.28,86.013,50.183,98.984,63.773,74.211,72.576,121.096,81.149,60.212,172.165,60.298,159.645,124.232,108.497,186.286,98.428,109.569,138.96,132.546,141.17,99.113,137.192,124.556,97.843,140.435,124.78,146.845,97.247,111.771,88.907,137.452,109.057,112.053,123.88,123.686,108.588,103.474,111.516,148.006,129.621,126.852,164.779,174.682,128.977,152.853,206.774,172.597,193.627,214.434,175.019,188.74,161.466,140.116,198.582,90.359,129.301,138.011,151.031,187.204,148.953,194.512,203.944,243.822,137.351,128.977,224.686,168.035,182.745,138.043,130.222,219.934,102.983,141.796,115.908,177.993,160.491,107.586,116.962,170.585,90.148,74.036,126.483,153.648,63.145,112.359,143.046,61.799,71.854,71.384,168.098,95.721,81.053,71.089,108.439,182.614,193.771,133.185,184.528,158.691,154.436,250.447,196.137,282.305,284.794,263.261,266.347,361.047,287.873,198.712,118.208,170.688,160.299,153.374,208.479,218.41,142.15,124.064,152.544
122.783,356.86,531.124,430.017,326.54,194.621,311.37,274.618,401.353,311.068,420.229,115.311,47.313,37.916,60.054,47.022,64.847,76.747,59.544,55.919,143.398,90.228,45.741,59.509,54.813,124.729,154.298,6.237,8.044,30.516,2.948,24.935,20.646,35.038,8.448,14.607,42.721,15.765,50.301,79.669,110.836,122.555,36.894,133.604,69.986,78.047,65.794,18.132,122.367,43.162,73.346,82.997,55.445,26.086,60.97,41.941,78.126,163.542,72.739,149.478,68.021,86.987,89.24,88.742,118.344,109.674,95.788,74.566,100.049,152.546,120.997,136.448,200.892,165.997,198.527,226.047,210.196,271.642,231.543,184.499,202.796,205.375,224.055,186.738,155.647,150.139,149.456,174.142,158.946,172.726,163.345,260.81,175.798,239.815,181.983,223.571,176.446,140.211,172.91,168.867,156.18,186.824,212.332,231.509,194.565,191.467,150.009,158.428,186.021,205.02,255.388,202.324,229.484,207.705,239.745,193.083,220.624,135.216,128.875,147.354,130.847,170.617,207.146,171.209,127.026,219.194,158.333,122.242,176.92,179.817,156.297,131.688,167.407,245.762,175.926,149.034,138.992,232.328,174.388,88.001,158.162,156.802,178.151,107.271,174.427,139.572,101.49,163.727,105.847,94.345,71.88,163.299,142.625,83.72,126.671,102.702,71.777,173.709,234.421,135.067,185.517,180.498,119.308,221.601,181.534,322.288,270.573,258.248,227.369,353.044,196.912,182.745,189.199,177.454,215.021,222.596,189.184,219.199,97.07,131.39,122.783
