0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
259.518,255.944,254.462,268.678,257.022,260.555,260.524,255.136,267.314,264.765,257.978,263.333,266.148,275.395,257.657,253.38,259.172,270.905,260.105,259.198,265.266,253.247,262.435,254.348,258.778,263.301,260.369,262.404,255.088,257.141,260.85,258.254,255.345,253.864,263.806,257.482,262.415,258.526,255.41,259.184,259.518,269.024,263.919,265.183,259.887,255.491,265.381,256.598,263.547,259.042,256.78,256.164,261.737,261.232,262.55,262.499,255.083,263.258,258.593,257.184,258.231,253.032,265.749,260.497,253.191,255.026,259.106,254.643,254.346,260.479,261.068,263.676,261.043,258.185,251.773,250.418,264.034,267.931,257.574,254.314,258.573,256.314,257.895,254.991,253.595,260.625,262.347,257.201,258.322,255.839,256.833,258.076,258.471,254.102,256.903,260.078,254.838,254.113,253.728,255.28,259.575,260.722,261.55,254.947,264.364,262.307,262.092,253.687,258.426,254.442,253.707,258.558,260.612,254.809,252.142,254.875,256.156,247.992,254.037,251.609,246.504,255.773,257.596,249.114,249.84,254.986,246.652,248.226,248.378,248.381,244.938,252.253,256.312,248.647,247.703,251.854,252.142,251.96,248.955,260.165,252.753,244.194,248.158,246.558,247.384,254.162,252.705,255.003,250.271,245.72,246.261,253.478,248.391,253.963,252.511,253.137,249.606,249.242,256.511,248.408,252.312,210.643,248.429,255.936,250.058,251.466,248.726,250.283,244.416,248.763,245.866,244.035,243.976,246.533,254.009,240.253,248.708,252.329,253.912,242.879,250.976
252.557,261.137,262.828,257.82,258.332,260.205,257.708,260.708,254.674,265.095,262.837,265.86,261.775,268.935,256.4,252.934,262.445,273.235,256.002,258.664,267.965,263.773,259.1,258.886,270.73,265.532,257.666,260.793,259.053,255.625,259.784,264.135,258.153,264.074,256.668,261.519,258.665,261.392,268.87,262.236,252.557,266.239,254.646,270.236,262.71,252.538,261.577,257.988,253.384,271.294,260.121,256.035,265.505,266.068,264.383,259.334,260.542,253.063,259.96,264.26,260.526,254.822,261.025,256.75,258.038,264.876,257.084,268.676,260.196,260.986,258.092,254.877,260.829,262.571,258.388,269.604,261.662,255.542,259.678,261.945,256.947,263.774,262.64,249.615,255.793,264.306,252.566,256.843,255.065,254.576,262.763,257.722,252.191,260.197,265.828,254.846,255.362,256.746,256.13,253.777,262.603,250.783,257.26,253.411,254.848,263.22,263.776,262.559,256.649,256.955,255.067,246.689,262.657,256.176,254.31,256.641,253.942,249.269,250.879,251.098,250.826,260.417,255.515,247.072,247.4,252.79,243.723,255.116,255.978,253.243,255.639,251.067,253.581,257.827,258.29,249.821,254.431,256.426,254.923,250.706,248.452,244.616,250.775,256.92,252.179,247.72,248.851,250.156,248.398,253.243,251.27,241.567,246.662,253.662,250.105,244.996,246.126,256.51,252.481,251.334,255.793,212.326,250.045,257.042,253.521,245.625,247.908,249.631,255.118,246.369,244.321,251.686,248.976,249.283,243.356,245.031,249.423,250.66,249.986,247.375,256.111
251.549,263.422,263.785,263.865,261.348,263.392,263.709,264.441,259.275,261.688,267.293,263.097,261.418,261.63,264.074,254.561,259.749,271.191,258.584,265.617,258.444,257.931,257.187,256.862,261.246,264.235,263.187,262.13,257.514,265.205,256.057,260.908,260.349,259.78,260.366,258.378,262.77,264.847,260.016,265.063,251.549,260.884,262.032,266.101,266.591,258.996,261.951,264.27,259.039,262.98,267.8,259.64,271.769,268.292,259.316,262.997,266.44,254.11,260.48,259.673,255.834,259.132,261.586,259.905,264.758,257.766,262.322,263.063,258.999,258.519,268.618,265.277,263.324,254.453,257.836,255.486,256.281,262.637,255.736,258.865,259.3,257.297,255.996,256.111,257.657,267.039,256.865,261.453,253.031,261.933,256.219,256.943,249.58,258.291,267.904,259.412,254.081,253.091,257.747,251.609,266.681,253.061,258.566,262.104,255.022,259.794,265.563,262.971,262.122,257.273,258.959,248.95,264.995,256.719,250.418,260.176,259.121,251.611,255.939,256.404,254.556,251.302,255.541,254.383,252.09,248.592,248.751,256.155,253.206,253.139,259.71,254.329,247.625,259.342,244.835,252.366,254.808,261.309,251.813,247.493,251.43,259.797,249.078,256.033,259.018,253.987,253.409,256.281,251.631,248.833,252.987,246.474,249.991,253.17,248.191,248.147,257.962,257.378,250.244,250.756,250.41,221.021,248.971,254.418,249.086,249.014,248.697,246.923,259.179,248.827,255.097,254.066,248.971,251.017,250.099,256.619,247.011,250.748,252.654,251.964,244.889
261.193,257.137,264.278,267.52,260.052,266.623,259.56,258.137,255.526,260.471,259.102,265.375,263.366,264.074,259.682,261.711,261.397,272.836,261.169,264.036,259.493,251.424,260.272,257.746,251.16,262.853,263.836,261.229,262.147,271.499,263.205,259.006,255.516,256.971,263.087,264.963,265.536,264.357,260.147,256.859,261.193,258.178,258.26,268.44,256.128,262.435,262.9,262.732,264.388,267.472,270.966,256.299,264.735,257.978,265.772,264.936,269.67,266.328,263.258,258.024,262.444,263.103,260.88,263.893,262.527,260.88,266.732,261.468,264.466,260.955,269.555,271.89,262.46,263.882,256.29,258.657,258.196,259.065,257.646,257.845,267.2,264.807,252.995,260.579,263.624,261.168,260.788,262.531,264.277,261.767,262.639,265.798,264.355,260.445,262.646,258.322,257.678,260.329,257.202,265.77,262.662,256.657,260.099,258.554,264.503,258.721,264.663,258.666,255.843,253.563,257.58,255.117,268.017,260.51,254.755,248.699,252.812,256.929,258.26,258.954,242.889,247.576,252.652,253.495,258.259,253.158,252.885,250.73,251.553,247.57,254.958,252.221,257.537,249.463,246.008,257.238,248.4,252.784,252.045,251.869,257.366,259.995,257.624,252.091,249.969,251.973,249.865,253.977,247.655,253.195,248.438,244.593,248.886,254.889,254.164,254.344,259.033,253.494,246.648,249.532,255.795,212.178,249.274,250.388,254.889,252.026,247.518,247.679,252.416,251.333,252.819,244.979,241.174,247.196,249.341,258.92,242.836,253.308,248.981,247.803,252.929
253.801,264.671,257.932,264.825,258.897,269.115,256.829,253.2,264.232,259.604,259.155,258.745,256.071,264.243,258.944,266.819,262.274,269.713,264.664,255.191,263.093,264.092,263.067,260.281,259.165,255.1,262.299,251.546,255.711,256.375,261.796,247.646,260.821,251.627,257.464,265.887,266.206,263.206,262.672,255.356,253.801,267.671,262.109,262.617,254.945,259.546,257.279,264.933,269.459,272.429,269.174,256.827,261.429,263.128,259.829,265.069,267.18,273.174,263.657,262.953,260.109,256.494,262.882,269.938,261.496,259.179,267.554,263.808,262.672,270.879,263.978,276.358,263.165,270.73,255.825,260.257,264.664,266.152,258.067,260.244,259.355,262.479,258.881,260.093,263.309,261.645,252.786,265.582,272.995,260.774,267.055,262.914,264.48,263.623,256.28,256.661,256.898,265.255,258.032,265.845,259.467,252.981,252.707,261.33,262.653,260.093,262.598,262.084,255.981,252.557,262.554,254.788,259.054,249.898,250.073,252.279,255.544,252.273,256.156,257.538,252.565,260.86,253.032,251.572,254.544,264.985,258.201,256.745,252.485,249.873,253.082,256.698,249.245,250.028,255.204,249.206,253.941,247.668,251.955,254.864,248.66,252.837,253.244,251.666,247.199,258.635,252.461,251.062,255.107,259.164,251.927,245.915,251.746,253.03,245.796,248.517,244.913,255.946,253.394,258.623,248.436,209.265,247.503,253.833,254.72,252.557,254.468,249.28,250.943,243.619,254.805,248.626,249.644,256.604,249.895,251.161,246.857,246.778,251.015,248.456,252.19
264.251,260.529,253.346,268.454,257.325,261.997,260.329,262.318,264.954,261.696,261.978,263.814,258.692,265.683,263.647,264.264,255.629,266.79,264.194,268.713,265.062,265.189,265.354,259.002,272.367,264.317,266.169,259.755,258.09,259.984,257.196,256.67,264.959,257.274,263.746,260.667,266.662,264.955,251.468,261.901,264.251,260.456,267.453,266.102,257.627,262.105,268.436,265.862,268.829,267.836,268.419,265.359,269.313,265.478,265.157,263.555,269.457,266.429,268.564,253.943,264.268,257.159,270.103,265.572,267.894,263.298,264.431,260.313,267.362,267.854,259.313,269.228,262.748,257.29,263.954,266.518,266.372,272.606,261.705,259.058,267.446,259.426,260.293,268.592,270.138,265.697,263.927,258.251,268.188,264.546,257.928,267.869,258.491,254.454,264.492,263.227,256.71,261.603,260.754,265.755,265.412,260.677,250.078,264.167,265.737,262.159,267.993,254.248,259.713,254.307,259.874,261.758,256.68,250.367,250.625,247.549,254.234,244.026,258.536,251.955,256.795,269.163,256.506,242.825,256.709,259.108,255.279,258.269,259.22,244.508,252.142,256.576,248.347,256.977,252.307,250.805,253.442,261.941,248.847,259.579,256.136,255.574,248.355,250.348,255.181,253.032,248.139,251.246,250.892,249.372,256.171,249.04,256.05,258.817,240.115,252.643,252.945,259.44,250.612,255.158,250.451,211.082,245.957,249.09,248.854,251.201,254.55,242.54,251.064,247.017,250.388,249.168,249.754,258.006,246.54,248.913,241.276,250.255,248.622,249.92,255.583
271.31,258.709,259.641,267.902,259.813,261.082,262.162,261.798,265.157,256.634,263.247,261.903,261.436,275.811,255.936,260.926,257.187,271.916,260.295,263.296,268.22,260.112,254.561,259.678,268.986,268.028,265.562,263.317,264.831,265.975,255.051,262.029,268.486,258.875,267.434,259.915,266.32,261.921,261.118,264.693,271.31,260.871,268.787,268.788,268.655,265.183,259.463,263.28,270.74,266.943,260.804,267.398,276.724,264.95,261.878,269.159,268.91,274.576,271.307,261.929,266.526,270.688,266.423,264.926,280.715,278.464,272.441,269.605,271.613,278.987,279.93,272.181,261.918,255.554,274.042,267.499,272.152,260.287,258.561,269.042,268.243,264.318,260.525,271.059,266.857,264.684,261.205,267.387,264.502,268.173,258.085,266.662,260.183,264.422,263.423,262.142,261.756,257.244,249.711,264.534,268.451,262.67,258.2,260.114,265.181,263.173,257.225,265.061,260.184,264.566,261.895,261.314,260.282,263.079,258.815,250.253,265.649,253.48,253.529,251.365,252.755,258.3,259.546,250.323,255.444,254.955,245.691,255.944,255.175,249.352,248.942,255.252,244.244,245.036,263.055,255.379,251.809,259.705,250.805,249.09,250.284,255.795,251.832,251.794,246.96,255.579,254.605,256.284,252.666,249.628,242.227,249.548,257.052,253.866,246.536,251.931,256.749,255.975,249.853,252.041,254.153,216.011,249.719,257.836,251.85,247.351,246.588,248.822,254.973,249.401,247.651,240.357,247.976,248.054,249.762,249.927,254.47,255.28,252.746,251.094,262.669
265.426,265.516,267.273,269.013,258.559,264.624,264.025,258.945,267.869,262.291,269.592,263.11,260.719,271.294,259.904,260.507,257.194,277.417,262.324,254.755,264.648,253.736,268.444,260.131,259.127,259.823,264.315,261.261,264.31,268.546,261.961,261.94,264.851,270.266,260.734,262.567,269.619,261.911,263.323,265.612,265.426,268.287,262.401,260.816,266.046,260.925,272.456,264.226,268.043,272.99,272.305,267.761,271.461,265.217,269.339,269.085,273.041,269.423,265.47,266.308,272.081,272.582,273.316,285.603,287.466,295.224,284.597,274.736,277.127,282.132,277.54,277.944,269.919,266.145,265.288,269.077,270.44,273.015,264.138,273.735,270.156,266.657,263.227,270.34,267.116,258.927,266.007,271.681,263.608,268.362,264.338,269.969,260.417,261.757,260.106,264.447,261.965,258.143,252.347,258.299,266.909,262.169,262.275,262.302,264.38,253.863,265.885,261.821,261.688,267.606,265.005,262.796,259.807,263.63,250.812,262.019,262.824,257.41,265.046,249.78,251.264,256.669,256.558,252.883,252.156,257.952,257.777,251.675,260.765,254.655,251.56,249.707,250.139,246.836,255.543,247.726,249.798,266.935,251.475,255.004,253.824,252.355,254.9,257.912,249.794,256.297,252.196,257.7,252.724,254.049,248.819,251.297,254.401,254.096,254.38,252.088,248.857,250.291,258.406,259.711,256.628,209.874,248.122,250.039,251.786,255.154,243.498,253.237,256.09,250.504,252.647,251.2,249.635,243.874,257.1,255.478,256.589,247.326,256.036,253.743,250.39
263.45,257.86,262.557,260.074,260.363,264.596,258.477,260.828,261.725,264.112,265.573,265.563,266.165,272.891,261.26,254.584,257.843,276.961,262.829,259.724,257.702,264.228,271.586,264.251,260.633,264.726,274.866,251.197,264.308,262.583,264.216,266.766,257.566,270.68,261.428,268.432,270.315,272.405,259.343,260.63,263.45,273.373,268.419,267.637,263.869,253.959,265.62,264.653,265.363,278.532,276.457,265.336,274.073,271.284,266.936,268.553,280.056,264.326,280.559,264.271,266.39,265.448,289.4,298.084,309.964,317.256,289.151,298.795,294.195,304.436,288.702,280.527,275.69,268.877,279.084,276.115,273.617,277.586,271.416,273.079,275.226,273.273,269.15,265.208,267.277,263.075,269.583,268.308,269.083,267.912,267.756,269.399,263.031,266.598,261.077,255.415,258.914,261.231,259.276,261.852,264.884,271.841,261.682,262.549,257.233,267.206,265.542,258.535,260.123,261.169,263.057,259.346,267.537,256.886,251.582,259.534,254.763,257.576,259.312,250.089,257.621,262.23,255.082,255.687,249.945,255.62,260.893,258.135,255.541,253.769,253.344,246.162,253.269,255.495,257.167,254.389,249.533,262.916,260.338,253.164,244.035,248.439,256.833,255.594,251.551,256.728,257.983,248.251,250.412,254.924,250.975,245.65,247.229,255.026,251.883,253.43,248.699,246.53,245.315,260.836,249.201,203.671,252.621,257.772,247.822,256.703,247.405,250.11,251.384,251.532,254.865,254.921,247.865,252.517,256.963,254.699,246.751,244.143,251.052,252.953,249.122
271.119,257.515,263.7,260.938,253.929,262.717,258.635,272.338,257.601,257.541,262.658,255.85,267.758,267.726,257.381,256.903,262.003,279.431,260.034,253.303,269.271,257.687,264.598,260.956,268.498,270.787,266.378,268.812,259.918,259.119,260.681,267.088,267.599,263.928,261.57,265.888,268.044,271.786,264.298,263.493,271.119,279.424,259.818,275.182,269.997,261.457,264.55,275.621,268.825,268.304,277.099,264.457,269.857,268.877,271.046,268.991,274.253,271.937,277.235,268.948,265.558,279.059,306.272,322.868,331.772,332.831,312.824,314.552,304.155,310.43,281.986,288.452,284.084,276.729,279.22,269.279,281.63,279.314,277.969,280.628,276.652,279.028,271.047,268.079,275.814,268.818,270.275,270.89,267.096,265.165,265.12,266.902,259.919,270.506,259.484,261.913,263.794,266.192,256.129,265.997,268.773,264.533,262.964,256.027,260.397,262.867,262.557,264.908,257.403,259.658,261.736,260.077,260.817,250.12,262.422,252.15,256.128,255.964,254.555,261.016,259.778,269.341,260.092,249.142,256.821,252.194,254.856,253.851,247.772,255.414,258.128,252.973,256.972,256.612,261.753,256.808,257.266,257.792,256.024,256.798,251.894,247.757,251.286,253.471,253.82,247.966,254.631,264.368,253.825,261.638,248.024,252.091,252.164,254.202,256.691,258.756,256.773,253.96,246.747,255.178,253.23,209.757,244.386,264.792,250.821,256.428,253.291,246.975,249.936,252.263,249.54,245.561,247.383,251.649,254.131,251.299,258.06,250.658,254.462,250.606,255.214
