0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
287.185,262.746,256.217,262.665,260.157,287.185,273.621,273.907,269.343,275.111,265.805,269.171,271.08,268.649,266.342,263.545,274.902,269.628,268.606,261.102,283.993,275.051,282.841,274.856,262.233,281.319,285.559,263.235,266.057,288.366,279.674,265.801,268.212,277.673,278.897,285.232,265.393,270.592,271.328,270.524,259.97,257.68,268.905,262.066,252.059,251.783,258.257,251.272,256.176,265.18,263.819,278.666,264.51,271.237,259.161,266.902,261.011,257.529,256.34,260.609,263.132,252.075,256.848,261.496,261.585,254.663,267.931,275.318,255.93,7589.065,270.981,256.723,259.839,263.04,277.152,262.532,262.723,266.88,255.818,268.058,258.955,257.5,266.303,268.357,278.058,258.996,272.629,257.854,267.372,295.945,264.802,286.653,264.911,262.26,317.2,299.685,265.03,286.067,274.614,296.425,285.981,271.057,257.061,260.809,302.592,280.572,348.141,285.428,303.875,278.547,273.394,268.325,265.642,281.439,282.467,315.489,271.548,262.584,255.89,253.752,271.362
296.639,267.014,257.757,266.208,264.538,296.639,273.941,283.722,272.888,281.887,268.281,276.464,270.208,273.675,269.973,266.693,279.444,273.855,272.577,262.305,281.947,277.418,283.277,279.185,264.738,281.498,287.448,264.706,269.122,285.827,282.532,268.019,271.183,278.56,280.475,285.357,264.408,270.593,273.193,270.582,257.571,259.869,268.695,268.438,255.914,252.051,260.814,256.444,255.225,264.223,262.203,295.491,268.695,277.843,262.762,271.237,265.292,258.876,259.646,262.668,265.01,255.599,259.027,264.634,266.281,253.833,270.951,274.413,258.347,7930.339,271.322,257.272,260.738,264.839,270.562,261.354,264.196,267.302,255.507,267.591,263.47,259.304,266.516,270.884,280.695,255.247,275.951,260.372,266.98,300.291,264.922,294.388,269.255,259.918,331.0,304.707,266.124,288.072,275.716,300.069,299.473,276.639,260.703,263.205,306.417,282.568,357.973,290.16,313.769,283.665,275.06,272.452,266.063,285.308,289.458,320.878,277.562,267.225,254.092,257.27,272.61
301.277,264.72,260.22,267.474,266.995,301.277,279.063,285.137,276.003,283.973,268.939,276.736,272.514,271.186,277.13,271.629,284.915,278.126,277.384,264.196,288.931,283.553,285.854,286.184,269.803,287.812,293.839,272.358,279.841,289.166,280.523,270.576,276.617,285.887,279.489,286.71,269.166,272.231,278.148,276.929,259.38,258.718,270.528,274.377,259.161,255.08,268.827,257.655,258.627,265.662,264.965,288.503,271.416,277.942,261.994,275.16,270.27,261.106,259.597,264.036,266.734,257.073,260.471,266.101,268.894,257.9,272.215,279.412,256.418,8415.117,273.515,258.491,262.146,266.155,273.188,263.417,263.618,271.037,257.342,271.394,261.162,266.066,267.628,276.573,282.912,255.764,273.911,263.689,271.167,291.771,268.906,301.131,268.154,263.721,353.305,311.96,264.968,291.191,284.64,310.682,313.727,286.662,263.74,267.3,316.781,282.82,371.886,296.815,325.02,285.466,277.812,279.611,268.43,288.055,293.479,326.146,278.913,275.37,256.63,262.239,283.974
303.649,265.994,258.127,270.731,267.154,303.649,279.785,284.963,278.244,281.61,274.462,279.391,276.638,272.861,277.65,272.609,292.425,284.666,281.359,272.803,294.514,289.271,290.872,286.56,274.784,295.919,309.002,290.925,286.787,291.133,283.779,276.581,290.577,293.092,280.368,284.998,269.401,273.524,277.843,281.523,258.886,262.187,273.299,277.422,263.742,255.152,289.629,260.548,259.945,271.7,266.263,281.56,271.924,280.288,270.165,281.031,275.093,262.396,268.082,265.668,270.796,256.511,267.31,266.875,267.129,259.066,274.42,281.099,257.316,8817.109,274.532,263.879,262.076,271.086,273.197,267.822,268.344,277.585,263.119,274.997,266.218,273.335,281.898,280.731,288.615,260.542,276.084,263.762,274.662,294.661,271.143,309.216,277.317,268.413,361.983,318.108,270.179,293.835,294.798,317.13,321.059,294.013,268.199,269.885,330.135,283.268,379.268,304.37,337.126,289.929,284.394,287.562,272.912,293.908,306.012,336.142,282.898,293.329,258.937,264.029,292.5
306.602,267.16,259.717,269.078,267.913,306.602,278.741,288.573,280.101,281.902,278.698,276.863,279.201,274.153,284.628,275.095,294.82,285.043,285.959,276.44,296.905,291.106,298.468,289.068,278.185,318.861,326.0,300.943,291.08,298.357,284.273,295.512,326.688,297.974,288.517,283.504,273.288,275.75,272.727,282.019,266.669,265.656,276.338,281.802,268.849,259.205,305.165,272.681,264.725,278.559,271.239,276.235,275.249,279.494,274.333,278.049,274.884,266.607,275.416,268.744,270.861,257.841,271.367,270.319,267.959,262.772,271.473,280.56,259.39,9562.431,274.531,264.546,260.965,270.99,271.262,269.015,262.745,281.186,260.897,277.598,270.212,281.213,307.083,280.488,290.518,267.496,274.486,265.215,279.576,295.225,274.502,322.384,281.485,269.024,371.267,329.366,268.82,294.443,302.161,329.566,321.128,299.251,273.238,274.233,330.971,282.502,381.961,314.284,346.364,290.423,290.232,291.085,278.826,298.646,320.8,345.809,282.49,306.534,262.834,265.789,304.267
311.817,264.211,259.91,267.332,266.481,311.817,280.481,290.376,282.284,283.174,277.378,283.851,280.765,277.35,291.452,278.15,296.344,291.758,288.975,280.277,296.21,292.621,302.61,287.327,281.543,321.444,315.573,292.662,289.967,298.959,291.344,351.236,367.565,306.441,295.158,281.669,274.159,274.099,267.956,279.24,264.71,268.653,274.706,282.819,275.054,260.197,289.536,285.98,263.434,283.84,270.607,277.82,273.216,279.575,275.473,278.964,274.507,270.866,274.78,271.466,272.89,259.376,271.581,272.771,271.117,263.032,269.129,283.614,260.895,10733.185,272.761,262.503,259.045,271.197,269.255,268.814,262.14,280.422,259.753,283.68,273.6,286.39,311.243,276.603,292.437,270.153,274.826,266.288,284.936,296.624,274.454,323.816,284.898,272.175,377.304,330.178,264.88,296.367,304.539,337.216,318.835,304.368,267.933,277.454,332.947,284.841,376.039,318.664,345.385,292.596,292.827,296.862,279.569,300.08,328.582,350.839,283.975,305.749,264.867,271.582,315.9
321.726,266.879,259.179,268.527,269.81,321.726,281.803,291.584,286.388,279.338,278.403,285.962,285.119,280.308,292.626,284.621,295.128,297.166,289.788,280.314,302.722,298.632,311.006,295.307,293.867,314.625,313.714,291.68,293.326,303.573,308.822,414.199,362.295,319.903,302.122,284.209,271.458,276.451,273.13,277.946,267.123,266.661,277.245,281.251,281.979,264.351,276.174,280.917,267.817,289.628,269.897,277.828,272.648,280.172,275.2,281.492,279.738,269.437,277.495,268.564,279.348,266.113,275.485,277.317,275.668,263.326,271.556,283.902,263.875,12104.155,276.013,263.239,259.25,272.367,271.879,267.245,262.009,282.197,263.913,283.402,278.323,282.44,294.248,274.638,292.551,272.549,276.325,270.297,296.364,299.27,276.431,323.254,287.2,273.2,381.85,332.126,267.622,298.944,308.096,347.363,318.836,306.121,271.576,281.715,323.365,290.658,372.351,321.697,343.422,298.701,293.332,306.477,279.572,300.041,344.617,360.081,288.815,308.348,266.739,275.107,326.495
326.474,268.056,260.339,272.215,270.879,326.474,286.187,292.478,289.586,287.923,284.418,290.585,290.167,287.165,303.765,295.372,303.202,300.086,298.303,293.54,319.649,308.715,336.908,317.141,332.694,330.35,334.265,311.961,313.133,316.926,332.784,391.303,349.449,313.674,299.939,288.749,276.898,283.415,276.242,276.25,271.679,280.294,282.549,288.261,294.243,268.639,276.097,271.803,271.717,298.943,277.934,282.987,273.675,284.829,275.725,283.524,287.701,280.184,280.529,279.459,287.213,271.979,282.529,283.499,283.805,270.339,274.227,281.349,268.919,11589.073,276.314,267.795,266.433,274.244,275.953,269.943,263.713,283.35,271.634,284.493,283.575,279.274,284.924,274.18,288.193,279.003,281.611,269.555,320.898,300.867,276.323,322.213,286.095,278.057,380.73,334.118,272.207,305.011,309.782,353.389,315.875,305.016,278.448,285.388,315.66,292.272,364.534,329.531,342.462,304.526,293.686,313.024,282.284,298.959,343.949,360.393,294.765,303.879,267.699,280.911,329.488
334.905,264.153,259.826,274.177,275.374,334.905,290.948,298.284,292.403,293.304,289.007,296.22,294.337,290.2,325.52,310.288,321.654,313.431,309.18,320.376,375.328,330.549,420.006,372.159,383.702,339.301,372.491,325.121,331.136,318.317,333.637,355.697,357.865,312.006,300.075,295.683,287.748,287.569,276.328,285.51,280.628,302.38,296.647,301.812,312.43,281.315,287.351,279.681,289.354,313.279,292.85,299.222,283.963,293.842,289.238,297.879,294.658,296.312,294.516,290.258,295.229,282.226,295.457,287.95,300.92,282.444,280.822,295.061,280.906,14326.413,286.251,275.475,277.724,283.11,284.478,279.394,274.216,293.628,282.509,294.387,289.056,283.021,285.77,279.653,292.999,283.04,284.871,272.275,343.159,302.768,281.665,318.717,290.629,283.638,379.709,338.132,277.051,309.474,301.042,348.541,315.61,304.263,282.589,284.635,311.642,294.777,361.98,338.705,344.196,311.012,299.31,320.943,287.286,295.135,347.113,371.652,298.716,304.089,271.744,289.283,326.806
343.591,264.721,254.974,273.285,276.061,343.591,296.964,304.479,296.29,297.925,294.628,306.367,303.943,297.862,365.151,355.446,365.477,359.617,341.915,388.416,453.851,381.969,544.032,485.642,435.257,363.562,390.793,325.221,314.595,324.816,322.648,365.491,378.618,317.875,302.731,301.411,296.585,290.13,285.585,299.81,294.09,316.892,313.651,321.457,324.413,304.609,305.852,297.936,315.754,319.97,318.956,322.825,297.821,312.491,309.625,319.187,307.242,308.679,316.047,304.387,309.693,297.618,313.071,309.424,329.259,308.632,299.749,311.416,303.664,20856.379,305.442,299.14,300.196,304.503,309.859,293.996,290.572,316.706,302.319,308.248,307.167,300.734,303.845,301.428,316.516,296.515,296.898,288.405,336.288,312.018,291.701,319.833,298.563,292.954,379.252,352.986,282.556,315.689,304.592,350.728,316.501,303.285,293.491,290.544,312.298,295.293,366.393,352.134,341.622,314.49,307.179,328.417,295.204,291.06,344.463,365.156,307.383,294.954,278.482,286.179,321.269
