0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
219.902,91.034,50.296,43.26,41.78,29.874,78.819,85.15,57.605,135.599,151.264,642.145,319.347,339.59,378.321,508.298,636.438,491.922,344.611,365.188,319.335,412.484,306.944,241.355,228.649,369.203,448.838,260.73,154.585,330.978,297.131,203.175,399.426,302.61,255.17,227.024,245.177,233.007,161.597,264.283,386.133,601.972,312.388,176.759,320.237,376.955,549.844,518.453,484.982,513.821,507.374,447.144,420.856,500.588,480.14,392.157,391.758,521.101,393.706,536.374,438.639,358.521,372.163,403.307,469.623,466.862,446.347,492.188,439.772,314.685,393.369,362.996,384.808,472.488,496.306,369.176,423.546,424.731,276.5,377.783,355.099,237.152,223.545,287.208,267.72,258.512,279.445,209.533,191.339,291.854,243.467,143.54,219.747,184.796,183.857,100.363,301.755,227.88,250.646,232.494,185.855,209.786,174.015,108.929,129.204,166.051,159.955,207.808,162.882,105.568,169.225,84.996,104.8,88.805,102.003,154.954,185.883,126.994,106.092,142.364,219.902
186.223,123.302,84.386,49.402,57.805,120.073,66.461,108.603,70.092,127.544,180.473,712.113,291.219,376.124,370.34,445.626,627.979,646.175,302.337,281.785,247.632,313.977,353.215,170.696,283.237,405.765,413.031,174.732,101.142,201.009,291.278,168.884,276.793,230.123,191.804,87.469,211.701,239.869,239.816,137.38,316.708,752.451,312.837,197.651,274.396,381.573,310.629,439.262,389.587,589.665,531.948,541.498,436.388,419.975,495.151,473.798,428.998,500.111,376.434,446.688,435.073,426.79,363.716,385.198,529.619,456.752,488.178,432.357,465.893,395.244,313.811,323.802,388.023,312.784,535.192,408.72,453.565,446.525,226.339,426.437,512.397,173.122,181.566,361.457,215.681,204.936,236.411,248.181,256.999,319.837,267.04,92.43,192.311,63.095,194.194,214.463,361.781,379.065,174.009,236.146,228.765,150.839,190.128,144.254,144.414,122.915,156.602,282.65,106.029,144.388,163.862,93.111,138.126,150.586,28.976,127.469,160.9,184.069,170.006,85.671,186.223
192.18,175.879,77.703,76.89,77.695,116.293,98.495,82.445,141.872,146.153,368.73,726.944,325.101,497.299,447.309,512.396,558.833,759.099,338.955,247.297,296.471,259.068,482.755,231.943,197.618,438.778,399.242,203.424,132.887,224.848,233.452,164.953,182.879,140.615,195.168,153.848,205.221,187.451,264.982,220.486,246.963,580.802,252.778,231.114,395.762,332.562,330.437,371.06,452.763,482.935,429.08,550.709,332.462,284.903,414.291,400.384,308.458,345.214,319.153,401.678,445.777,379.438,283.665,347.549,379.792,339.587,410.867,375.123,312.69,382.941,255.203,242.691,241.874,284.756,392.385,340.387,470.089,306.745,213.795,349.128,338.242,80.793,112.258,376.099,205.953,218.685,141.434,155.75,181.52,308.084,210.148,105.013,96.269,78.981,153.084,150.687,319.402,301.76,190.195,245.5,143.983,151.523,224.604,131.262,208.932,100.789,89.358,253.871,90.993,91.8,120.656,121.55,148.76,101.566,87.597,115.694,121.414,190.816,109.753,69.081,192.18
265.324,248.155,173.025,200.997,226.164,168.176,227.88,185.098,147.928,174.251,550.818,815.134,513.397,747.432,537.726,583.806,591.078,790.574,486.707,301.497,262.106,313.056,502.56,319.727,170.282,425.718,373.281,242.813,291.222,280.468,414.839,286.484,184.04,220.657,156.437,258.284,254.511,251.348,267.39,162.309,352.896,534.647,248.325,322.286,451.452,434.226,409.692,521.994,507.962,458.286,459.619,461.425,406.171,312.845,365.444,521.645,324.797,329.317,301.63,392.029,423.586,374.256,285.363,290.807,346.105,384.984,297.725,396.646,267.676,328.095,306.072,200.963,221.027,316.492,327.624,245.714,401.256,239.352,174.54,209.14,227.474,95.002,114.028,277.644,313.901,193.677,96.652,165.502,131.301,362.26,238.454,143.709,112.872,124.515,144.438,149.924,205.554,304.182,219.277,258.15,170.309,161.742,265.821,234.641,293.748,251.035,208.653,274.605,187.873,102.666,160.637,145.773,180.737,197.345,151.613,167.799,85.719,222.299,157.404,139.24,265.324
446.778,360.313,327.991,324.913,408.005,339.641,391.91,352.418,301.825,387.737,731.837,946.745,754.871,992.551,683.776,683.756,895.088,628.928,621.989,469.597,379.845,397.587,504.73,395.321,320.101,534.649,539.149,449.942,406.286,444.285,553.848,389.991,325.309,419.83,369.37,399.118,402.303,369.904,367.132,317.828,479.601,487.138,396.744,494.784,660.657,548.59,594.836,622.368,606.397,608.985,603.392,563.579,584.472,455.553,474.403,678.821,491.268,545.459,506.596,550.271,495.733,523.21,503.0,486.775,454.391,507.929,423.403,523.283,462.866,420.024,453.869,377.949,399.988,433.838,510.214,388.376,405.787,416.838,411.413,279.757,344.175,263.512,182.949,344.116,513.215,303.569,241.059,298.738,291.528,563.637,404.115,313.922,213.851,316.552,381.596,277.645,282.982,342.665,347.503,415.707,405.729,377.693,423.339,331.398,374.534,458.312,371.213,454.392,432.642,291.876,361.125,372.281,353.699,386.754,381.681,335.514,307.702,334.905,291.169,213.42,446.778
657.961,338.609,334.604,313.868,406.43,394.002,414.06,356.245,407.337,452.469,835.178,895.405,793.17,980.744,739.823,804.547,1053.943,641.641,769.38,628.771,491.277,483.141,589.935,472.27,384.251,489.901,563.181,684.59,491.2,454.79,653.753,569.884,473.368,667.657,508.514,451.614,565.045,584.535,561.684,468.121,583.091,644.568,597.132,618.406,855.39,677.187,746.341,816.58,753.411,701.715,712.687,678.997,789.633,572.676,696.456,879.063,750.048,721.621,725.844,836.897,666.208,728.677,688.746,710.469,516.08,649.741,601.907,702.216,745.489,553.624,628.209,617.965,549.647,615.336,593.086,560.027,610.642,579.076,584.322,483.409,513.373,430.63,427.532,533.855,672.855,509.033,538.731,491.935,526.465,762.638,568.482,501.78,490.379,394.736,501.095,485.042,571.513,501.707,601.879,683.355,667.53,604.193,561.19,512.752,581.229,622.858,617.973,631.71,625.424,561.726,532.37,607.241,567.889,664.138,631.195,557.496,643.817,520.047,550.422,480.152,657.961
689.17,218.193,305.393,268.496,267.246,312.451,300.772,319.544,367.685,378.505,860.201,797.155,751.721,792.915,677.98,757.664,923.464,709.959,871.33,522.49,525.787,465.786,571.537,459.144,398.819,445.672,556.117,688.844,484.112,434.368,782.587,658.907,527.794,745.975,529.77,475.115,473.681,564.522,516.936,539.097,498.578,631.462,545.102,678.913,721.966,765.608,744.382,746.346,880.394,741.377,698.687,591.989,843.791,680.485,772.976,823.989,708.809,658.431,728.957,762.701,659.888,838.908,707.99,654.774,486.964,572.659,542.436,613.356,688.93,588.242,585.934,554.852,552.401,532.802,641.582,543.013,685.859,590.936,525.094,563.873,544.454,473.09,437.666,544.847,534.99,547.196,587.091,475.765,641.828,726.831,535.17,513.18,588.533,470.859,551.248,529.893,626.566,509.602,657.113,678.889,706.17,565.357,560.748,495.213,607.245,524.063,653.938,578.069,540.566,578.843,508.315,473.514,572.048,606.488,650.316,642.954,731.894,673.45,583.6,617.01,689.17
530.957,117.901,131.606,190.375,154.79,206.121,147.013,228.281,311.881,280.731,774.336,683.831,705.622,728.084,573.398,649.341,658.832,530.762,738.313,367.063,523.422,496.402,460.84,432.821,423.855,470.631,522.992,505.051,420.326,348.865,644.353,561.84,511.458,701.336,539.551,481.94,447.266,500.1,503.216,527.607,458.692,512.088,489.686,576.131,662.066,693.335,569.667,654.956,721.887,702.425,552.848,540.652,727.191,586.797,720.281,694.82,620.169,669.166,610.706,667.615,660.406,727.752,605.109,583.158,422.811,410.809,523.259,512.458,507.942,530.663,472.045,364.807,467.935,394.817,439.378,403.286,591.752,530.268,477.432,527.002,523.176,304.58,331.48,509.181,448.39,492.997,440.07,380.872,488.728,573.132,407.541,375.169,383.635,367.453,464.462,379.325,471.025,427.243,422.927,539.516,575.366,403.089,494.074,434.257,414.072,468.604,514.725,451.311,411.148,354.911,425.426,401.117,457.838,421.447,475.872,498.779,565.666,515.406,459.396,554.755,530.957
355.904,53.145,30.01,106.244,94.733,86.754,55.734,115.162,127.81,201.336,601.409,489.126,451.839,508.921,484.062,471.561,529.165,443.894,539.789,362.76,464.329,396.453,369.061,330.693,350.893,308.493,473.593,413.614,333.18,291.005,479.274,370.611,427.13,485.093,454.505,423.504,398.336,485.359,371.072,401.908,398.116,509.536,345.708,463.689,562.091,511.513,477.749,612.417,599.17,649.465,463.997,554.359,487.101,632.228,659.678,543.566,566.92,466.479,439.955,476.082,593.075,546.706,471.945,482.886,309.761,333.759,459.229,315.175,328.453,368.478,409.208,178.342,321.492,289.919,283.499,326.673,420.506,494.023,379.564,399.675,328.369,281.2,202.611,403.353,333.994,436.73,254.33,288.006,236.804,403.582,323.683,360.386,236.954,249.549,294.895,272.414,350.981,308.049,241.966,358.521,371.269,280.297,338.591,332.834,280.579,345.567,405.451,331.804,267.622,211.57,337.241,306.664,334.069,372.78,412.95,334.855,602.8,505.457,406.953,430.299,355.904
348.105,70.458,71.658,61.233,76.184,83.633,80.48,131.19,112.61,226.537,516.439,395.191,280.291,386.105,445.71,259.402,377.326,503.101,482.179,294.419,358.391,345.957,239.59,313.873,254.286,280.448,373.797,245.284,313.291,206.816,383.043,276.453,364.925,334.793,437.522,341.633,347.875,377.946,265.539,238.709,358.0,459.077,311.902,445.203,455.356,511.198,496.107,557.675,580.411,436.218,381.706,431.349,472.806,518.464,472.964,471.861,479.302,351.277,404.724,370.166,608.448,556.502,329.69,428.162,339.74,244.958,297.603,307.135,297.53,345.157,439.357,190.856,337.712,238.379,245.729,396.473,312.918,360.288,252.938,268.143,184.276,194.048,148.586,303.845,353.183,338.315,249.654,228.231,154.523,275.251,204.048,297.9,218.013,159.159,196.137,218.914,199.325,228.115,269.026,332.429,253.4,333.101,304.294,319.448,285.821,234.142,373.433,333.837,219.813,308.586,317.323,203.217,320.912,349.707,294.392,304.541,507.922,388.401,318.322,391.57,348.105
