0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
612.666,1018.088,661.069,651.035,715.466,816.819,809.916,750.349,772.475,975.007,997.375,833.34,947.84,976.573,840.688,847.868,945.888,828.112,871.827,867.483,1005.828,378.386,443.544,328.827,362.92,733.873,633.0,560.83,1021.468,1017.444,1275.906,1131.913,846.043,730.597,837.907,910.565,865.33,997.884,765.235,729.219,1019.886,1071.246,988.837,838.236,996.943,898.24,1169.959,899.223,731.672,825.903,851.477,710.015,861.552,711.787,870.868,1162.46,828.34,915.229,788.417,856.588,836.436,1176.135,791.625,727.524,688.36,847.271,837.011,569.354,495.033,803.159,619.931,544.547,1081.176,1029.971,1077.977,779.433,993.052,834.536,845.475,937.014,778.762,783.551,843.204,828.84,1054.1,800.186,871.621,811.544,938.904,845.387,976.95,1204.098,1245.935,824.57,969.894,827.282,967.655,1260.256,1078.231,971.634,1045.793,939.343,910.191,966.696,886.341,1044.955,966.316,685.567,975.52,685.75,796.789,786.597,1050.783,827.139,952.291,504.013,505.36,591.814,581.293,753.831,612.666
791.724,876.226,717.149,669.322,851.405,974.048,769.627,858.35,946.403,1145.834,1093.534,978.452,1106.917,1123.638,1073.944,1116.631,1177.677,1214.139,1110.134,1124.162,1130.844,678.867,798.308,667.226,728.072,937.628,866.275,931.423,1091.785,1222.021,1449.768,1514.474,931.381,917.26,1088.294,1140.764,1080.516,1094.174,830.339,1040.784,1223.606,1484.261,1238.81,1039.169,1296.178,1104.806,1252.752,1161.222,981.455,986.92,1049.077,668.542,571.251,551.809,789.822,881.229,786.971,915.393,799.229,825.874,788.691,1091.455,781.138,761.378,672.422,822.524,721.051,636.969,704.917,900.745,775.068,510.152,1107.204,981.437,1054.582,632.02,877.733,759.757,754.008,890.578,646.046,581.016,504.376,696.986,743.877,618.237,588.599,703.373,750.019,810.33,685.319,1163.698,1078.655,690.983,844.436,704.176,772.42,1312.694,977.162,1057.666,1233.317,699.429,741.722,714.067,804.052,729.788,943.684,395.294,490.857,393.091,480.604,461.189,645.118,629.971,689.532,421.978,460.877,584.459,603.585,776.675,791.724
533.442,793.49,814.495,692.431,834.354,1039.942,740.411,921.888,1074.11,1132.886,981.6,1036.324,971.482,1019.763,1197.906,1135.955,1235.151,1318.684,1132.66,1115.237,930.089,678.973,763.652,776.442,823.018,848.469,758.295,970.045,938.346,1098.996,1205.602,1471.262,856.582,985.57,1115.839,1237.381,1213.739,994.685,970.48,1151.337,1272.241,1478.91,1240.532,1081.159,1360.022,1134.184,1231.073,1307.715,826.486,1280.768,1166.718,798.723,463.621,606.436,936.965,892.934,741.842,1019.501,950.175,1076.709,1292.954,1283.331,1007.32,732.709,713.585,753.324,696.011,489.217,713.258,921.335,664.467,524.834,770.735,841.731,712.114,558.706,849.804,724.092,681.914,949.658,493.254,357.65,342.498,547.728,503.746,414.506,420.919,602.933,394.857,828.753,470.004,1308.344,978.05,651.896,635.128,615.487,785.592,1191.796,974.192,1025.999,993.303,451.823,496.527,717.439,593.396,574.264,587.006,278.334,426.092,95.129,264.072,144.868,293.212,415.553,312.72,291.736,411.717,374.729,347.41,610.055,533.442
261.209,746.389,647.967,712.969,842.111,1099.994,888.702,979.383,1155.007,1115.551,825.718,977.281,921.638,788.767,1099.368,815.155,1146.631,1167.049,794.591,869.427,548.485,319.226,382.241,532.801,405.312,476.638,559.696,697.37,660.939,688.155,731.946,1027.181,878.434,868.438,1045.864,826.756,793.855,783.181,766.136,763.011,866.179,898.559,876.382,677.608,938.154,784.238,888.948,864.144,722.672,955.826,942.56,821.578,510.386,511.58,987.666,904.542,721.003,902.195,1072.343,1125.045,1693.414,1532.259,1113.956,710.442,688.919,716.089,737.595,596.586,683.509,803.238,422.519,462.872,573.77,555.735,426.411,485.296,654.096,504.455,700.054,620.72,354.724,346.458,386.288,540.335,294.437,212.579,241.78,332.88,196.377,627.428,223.806,834.596,552.133,334.679,483.899,508.638,473.611,828.774,753.419,693.116,595.055,198.639,268.448,490.512,363.912,258.949,327.551,230.268,288.37,107.594,253.253,175.046,248.048,326.497,327.58,316.407,340.055,297.688,201.832,490.31,261.209
244.563,184.6,164.754,362.641,367.013,556.173,481.492,475.462,737.529,728.234,335.646,530.17,505.874,342.687,469.184,373.681,485.572,602.048,229.669,233.52,152.988,48.162,118.767,161.368,129.994,242.997,139.066,281.816,247.481,339.316,249.494,362.65,347.93,381.284,557.344,327.944,298.105,479.951,283.997,319.262,363.509,415.123,429.351,223.153,390.807,362.107,395.61,367.189,367.235,418.038,500.064,422.744,271.03,284.812,571.695,667.128,485.627,561.35,578.779,780.677,1417.442,1311.931,851.633,477.006,335.177,303.5,489.727,331.496,407.953,545.454,188.994,265.774,240.31,247.259,255.595,304.312,500.202,481.314,566.506,402.22,357.773,287.515,490.532,603.203,236.541,63.305,80.538,185.716,166.637,249.823,138.042,295.618,236.448,111.247,151.522,308.315,335.018,539.053,367.324,461.02,384.735,118.018,107.327,232.66,194.631,134.137,210.662,193.788,131.575,153.496,214.44,280.19,201.226,358.291,261.651,202.75,242.072,142.429,169.105,212.796,244.563
193.86,38.322,53.637,78.83,99.555,120.532,82.526,102.184,195.445,183.016,54.711,163.701,102.864,151.254,184.891,156.827,123.597,205.821,125.804,8.218,38.916,39.253,65.55,48.175,66.277,79.428,25.38,64.549,7.353,54.374,13.199,18.214,36.287,76.182,111.932,35.661,25.596,46.115,14.352,89.372,52.98,58.853,102.72,20.731,58.294,142.472,97.367,189.735,32.499,97.037,245.767,172.287,105.02,142.465,162.465,168.65,155.47,197.853,224.055,212.392,988.861,961.386,516.944,486.421,122.685,234.825,216.291,123.865,132.866,304.639,95.313,68.975,88.771,54.498,108.785,90.433,151.788,328.558,325.833,188.374,430.834,144.201,286.782,257.634,121.725,33.484,55.139,96.233,147.075,129.256,105.93,81.363,73.06,29.848,49.597,166.2,259.244,283.3,160.566,234.148,127.357,76.517,58.808,90.511,99.255,73.01,81.441,100.962,54.134,108.763,187.369,209.74,185.046,293.047,163.18,158.08,145.155,157.22,154.791,126.309,193.86
44.442,59.107,73.031,47.613,112.826,103.592,117.109,93.267,98.214,138.738,97.357,165.069,116.019,169.335,196.28,136.347,114.352,129.593,169.719,12.863,52.496,6.153,115.828,38.978,35.172,67.521,19.049,29.376,4.513,1.695,0.582,0.0,0.0,8.294,2.951,1.001,0.0,9.179,27.957,77.411,81.155,85.784,112.797,4.154,103.418,163.16,46.424,210.22,201.902,189.381,372.009,148.6,164.611,159.146,172.059,91.357,68.094,158.26,218.063,234.629,827.268,1019.958,468.552,561.227,315.746,397.035,427.651,134.934,165.168,388.945,291.725,120.24,370.44,64.596,59.068,125.664,195.16,330.622,210.191,45.42,398.961,173.096,98.848,79.74,218.469,2.336,9.207,55.313,62.717,17.019,208.242,9.728,44.224,1.96,2.471,87.706,53.95,98.361,58.353,111.007,21.759,1.567,2.439,34.086,0.0,10.07,18.398,21.03,19.291,8.802,79.414,78.473,110.761,238.985,134.984,71.256,40.272,93.137,29.119,71.318,44.442
21.668,55.793,35.663,63.346,109.225,51.282,106.746,118.745,86.124,105.507,76.469,139.345,56.157,69.538,240.001,215.743,162.089,122.063,133.923,34.395,30.372,18.892,72.189,60.933,14.998,30.501,35.878,51.776,69.422,44.3,17.545,0.011,1.001,22.343,26.678,15.064,0.527,36.28,73.821,83.902,123.15,88.641,88.163,21.492,45.145,216.587,88.94,291.573,197.139,169.356,450.651,154.07,171.63,276.561,168.147,127.324,139.718,250.901,175.503,224.978,456.685,832.102,451.785,439.323,570.729,504.061,573.581,171.097,700.787,405.303,360.654,101.158,434.328,94.566,163.602,236.205,238.031,395.173,211.522,69.046,217.847,226.795,62.829,122.423,178.021,15.554,63.484,27.718,53.237,5.902,472.845,140.585,77.591,4.811,37.74,61.262,70.167,116.812,132.257,22.752,55.455,0.046,0.683,79.109,12.281,26.797,40.477,24.334,43.151,96.036,66.136,12.702,67.195,124.428,104.853,2.682,6.533,19.836,0.508,7.845,21.668
84.419,15.557,25.442,16.643,35.027,14.988,54.613,57.702,18.106,2.92,27.816,44.785,23.816,70.981,89.007,50.711,90.256,118.739,120.663,28.535,26.408,23.658,41.364,19.133,53.084,36.918,40.976,42.846,96.074,70.855,26.119,31.626,44.144,21.063,47.825,51.584,16.783,19.96,95.569,57.293,44.853,98.488,159.301,71.208,139.281,212.406,203.601,255.502,208.7,189.221,395.988,337.6,287.578,285.741,294.51,188.201,235.345,280.936,259.68,334.512,313.621,667.739,389.506,617.296,580.77,666.962,665.808,351.192,893.674,473.628,431.107,196.422,442.042,232.817,218.53,312.852,286.446,310.969,105.496,171.728,177.819,112.49,99.886,146.477,106.241,41.709,81.224,51.392,61.312,97.075,476.612,347.61,78.184,39.232,130.574,117.033,243.682,181.209,142.184,52.565,99.475,12.236,14.269,149.745,68.874,92.211,103.465,56.6,142.684,102.341,54.248,73.73,84.878,123.966,73.633,19.664,26.255,74.917,4.306,33.213,84.419
136.835,66.02,42.688,20.343,20.728,18.013,72.973,66.577,17.752,2.246,30.667,63.106,75.374,168.696,122.363,94.359,223.004,244.057,287.463,137.39,18.016,140.332,19.365,73.064,65.351,91.819,99.6,124.448,78.763,94.057,15.73,92.574,103.157,26.158,101.658,134.762,149.087,159.919,102.222,229.151,154.519,195.372,222.151,155.372,251.924,226.603,309.859,238.575,266.549,334.599,429.151,599.815,470.222,459.481,479.663,290.828,492.631,412.798,300.079,548.487,509.591,523.48,507.896,720.143,497.601,816.782,795.399,707.781,1062.395,830.301,432.832,458.328,553.833,429.612,462.977,544.046,415.361,490.798,313.124,323.03,371.592,373.223,214.643,355.831,371.729,156.042,181.571,184.036,169.873,114.852,440.382,390.702,203.191,137.783,154.674,219.344,417.179,310.061,421.9,267.075,150.92,243.711,38.98,246.316,263.06,168.747,210.776,193.501,201.765,203.478,279.635,87.433,230.071,257.913,102.814,196.205,150.373,114.027,52.768,228.055,136.835
