0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
250.971,252.517,244.892,247.001,247.332,244.822,249.021,253.257,247.885,249.681,246.628,244.963,250.971,248.484,247.934,247.811,247.964,246.504,251.661,253.094,252.545,248.762,243.758,267.527,246.134,243.611,252.167,248.785,245.694,247.246,246.666,244.798,244.362,247.275,245.588,243.19,246.672,243.77,245.057,245.464,244.982,245.396,247.719,244.554,245.241,246.338,249.509,242.37,246.282,252.037,246.592,245.348,241.94,244.712,244.885,247.013,241.615,241.229,241.774,241.241,239.833,242.739,242.887,246.048,243.369,245.723,242.641,243.973,243.811,243.326,247.178,246.564,241.155,238.708,241.077,251.929,241.113,243.971,243.443,243.893,240.373,240.955,243.065,242.932,241.294,242.754,245.608,247.154,243.498,246.585,240.185,244.75,247.03,244.282,244.684,245.496,243.343,248.522,245.706,244.321,243.946,243.09,241.899,242.762,242.038,245.206,244.4,245.128,243.901,243.477,245.771,240.591,244.491,246.099,245.044,245.273,243.866,243.902,245.744,243.833,242.188
249.507,251.814,245.154,245.834,246.304,244.411,250.368,251.753,246.73,251.43,248.622,247.898,249.507,247.869,248.015,249.08,248.144,248.488,252.36,254.465,253.692,248.623,244.144,270.255,245.8,243.235,249.104,250.427,246.462,245.473,246.946,242.813,245.691,245.0,243.944,246.141,247.224,244.672,249.248,247.849,245.416,245.99,245.109,246.313,248.382,247.147,249.74,244.243,243.984,250.186,244.356,244.784,244.019,246.946,245.22,247.474,246.245,239.251,243.651,243.34,242.077,240.357,241.766,242.55,241.905,244.482,242.649,248.076,243.764,246.551,245.818,246.532,243.331,240.721,245.389,256.571,241.651,243.392,245.831,246.406,242.064,242.255,243.718,242.97,243.798,242.271,243.309,247.117,242.691,246.364,240.166,245.223,245.301,242.686,245.236,242.667,240.99,246.679,243.893,243.867,242.261,244.63,242.799,243.113,243.679,244.797,242.303,244.917,244.675,241.655,246.23,242.309,240.927,241.608,242.629,242.626,242.221,245.901,247.087,243.502,242.875
250.164,251.542,245.557,247.321,247.916,246.162,247.931,248.171,249.448,251.317,251.076,249.092,250.164,249.239,247.852,247.034,250.191,249.314,252.974,251.238,256.474,250.363,245.103,265.533,249.53,245.922,248.14,248.824,249.226,247.236,249.77,244.635,248.441,244.869,246.646,246.767,247.291,243.087,249.747,244.72,246.664,244.396,246.096,246.177,246.085,248.536,250.46,246.702,245.077,247.401,245.931,240.427,243.591,246.495,248.793,243.692,246.53,241.124,244.471,241.543,238.666,239.975,243.832,240.595,241.157,242.155,243.722,244.259,242.409,244.953,247.473,243.657,240.56,243.165,244.068,250.369,240.147,242.218,244.852,244.697,241.637,240.115,242.8,242.143,241.953,242.619,242.942,249.001,242.008,243.056,241.013,243.225,244.083,240.974,243.247,241.861,241.47,242.803,243.394,242.252,239.267,241.9,241.598,241.541,241.935,242.039,244.172,243.818,243.79,241.05,243.401,241.783,241.245,244.461,242.179,241.55,242.335,243.714,246.842,241.603,243.355
254.714,251.989,245.271,248.606,249.132,245.221,249.334,249.253,248.452,251.067,248.878,249.093,254.714,251.91,251.754,250.356,250.388,251.309,252.911,254.339,253.756,251.03,247.86,261.483,250.427,247.163,253.221,249.91,248.666,246.479,248.16,245.045,245.524,246.175,248.102,246.353,247.545,244.409,250.457,244.819,243.437,245.82,246.347,245.332,245.435,247.259,247.188,243.454,242.078,248.316,243.233,241.946,243.741,245.145,246.438,244.817,243.917,241.455,244.453,239.064,240.407,237.493,241.239,243.146,242.519,244.151,244.653,243.825,244.982,242.218,242.893,245.744,240.804,240.94,244.424,245.59,237.656,239.894,243.51,242.429,240.086,236.912,241.816,243.036,241.764,239.9,243.228,246.797,239.482,242.496,244.754,242.583,243.363,243.503,242.081,244.689,240.02,246.296,242.823,242.246,243.599,241.478,242.683,242.064,241.51,246.027,244.035,244.563,246.224,244.728,244.328,242.108,245.324,243.958,242.474,242.202,244.946,243.031,248.185,242.977,246.599
255.052,251.158,247.307,250.593,251.943,248.152,251.376,255.102,252.711,251.696,251.062,249.061,255.052,251.393,254.022,252.545,251.841,249.916,255.092,253.709,256.233,250.631,247.294,260.158,247.773,247.833,258.066,249.632,248.686,250.549,249.898,246.178,244.277,249.704,247.928,246.74,247.871,245.139,245.545,248.929,244.308,244.646,247.64,241.641,245.895,247.085,247.415,245.768,245.755,247.551,242.531,242.684,243.285,244.897,245.203,243.353,245.957,241.861,243.064,242.241,242.386,237.88,241.193,244.048,243.621,246.378,244.464,244.44,244.355,240.683,245.256,246.33,242.093,244.665,244.486,246.506,239.419,241.813,243.005,243.12,238.216,239.424,241.229,244.115,242.582,242.472,248.084,246.992,243.182,244.939,245.104,242.084,241.005,245.227,242.749,245.091,239.108,246.771,244.283,245.586,245.155,246.103,245.438,245.634,241.737,246.017,245.155,248.184,250.033,244.356,249.694,243.575,245.411,245.126,243.159,245.955,244.585,247.641,245.358,247.975,251.364
257.616,249.626,246.874,254.291,249.692,252.858,251.498,254.584,256.937,252.979,252.951,251.564,257.616,251.382,257.559,250.626,253.277,252.142,257.632,255.496,255.388,253.179,248.79,255.469,249.483,249.892,259.84,254.454,250.441,251.514,250.519,248.526,247.696,252.221,249.523,249.18,252.329,246.1,249.788,251.328,247.591,249.806,248.337,242.894,249.86,249.969,249.005,247.432,251.449,251.722,244.273,245.175,244.761,246.262,248.901,245.75,243.046,239.771,243.601,243.454,244.137,241.919,244.423,245.08,243.315,251.008,243.092,246.946,247.256,238.984,245.216,247.63,247.349,250.135,248.445,248.083,241.854,243.81,244.742,245.858,241.069,240.811,245.476,243.932,242.707,243.371,249.346,248.33,245.814,247.983,245.834,243.212,241.532,244.767,244.427,245.53,244.459,247.796,244.876,243.415,248.309,248.291,246.212,244.347,243.737,245.544,252.168,249.519,253.19,244.923,253.348,246.898,247.092,248.592,243.71,248.548,245.645,249.135,245.387,246.807,247.689
256.914,252.119,249.541,254.241,253.439,253.178,254.188,257.678,258.92,255.362,255.468,253.455,256.914,252.338,257.443,251.609,253.588,253.865,256.746,255.56,256.422,254.991,247.349,256.258,253.258,250.403,255.134,253.917,250.253,251.91,252.023,248.809,250.839,254.424,252.935,249.463,254.905,251.687,249.771,252.775,251.061,251.104,250.295,245.002,252.366,254.068,253.531,252.248,253.093,251.325,246.206,250.137,250.785,251.413,252.634,251.679,247.251,241.005,246.747,243.598,245.721,243.739,246.026,249.464,246.8,253.29,246.167,250.617,250.525,241.916,250.421,250.375,246.494,253.965,252.806,252.486,246.567,247.831,245.923,245.937,244.177,244.759,247.137,246.486,244.985,246.841,247.457,250.479,245.078,248.879,246.908,244.06,246.01,246.736,245.314,244.4,245.059,248.676,247.764,244.074,248.67,247.983,244.57,242.558,241.589,246.329,250.395,247.348,248.963,245.485,248.891,246.47,246.906,247.154,244.646,246.817,246.213,245.095,245.638,242.93,245.064
254.904,255.187,246.864,253.635,254.148,252.233,252.575,254.781,256.322,256.693,250.901,255.11,254.904,253.943,253.999,253.379,255.75,256.149,257.23,258.983,256.144,253.388,249.817,254.229,252.639,253.946,253.86,257.604,251.0,250.62,253.125,249.601,246.693,253.642,251.521,251.534,253.413,251.226,251.258,250.866,249.395,248.587,250.587,247.062,249.112,255.107,255.748,250.323,252.094,255.009,247.274,247.688,250.368,249.158,254.29,251.633,247.526,245.249,252.018,244.565,248.92,246.1,245.98,249.592,250.02,250.514,248.2,248.975,245.468,246.97,251.292,250.379,247.578,250.988,252.899,254.836,246.099,249.51,244.617,245.363,242.332,245.59,246.543,246.229,245.934,245.208,249.606,249.952,245.416,244.313,243.922,245.818,247.664,248.315,246.769,242.697,245.051,249.739,244.616,247.24,246.657,245.866,245.182,243.964,240.549,248.944,249.22,247.504,247.269,246.261,250.018,246.103,245.066,245.23,246.288,243.677,244.925,244.993,246.895,246.156,246.789
252.59,251.834,250.333,252.479,251.578,251.215,251.255,253.602,249.549,252.633,248.95,256.496,252.59,257.924,253.579,251.625,251.506,254.968,259.805,258.004,257.651,253.884,248.717,252.448,249.612,253.324,254.717,255.953,254.732,255.704,254.197,250.562,250.093,253.138,247.893,251.176,254.82,251.91,252.256,250.663,246.776,247.09,250.379,247.291,248.556,253.449,256.782,251.268,253.796,251.3,249.493,245.952,246.771,250.946,254.567,247.91,246.413,243.439,249.609,246.784,247.677,245.179,244.938,247.057,250.003,249.491,244.603,249.819,246.602,243.416,247.34,252.026,242.573,249.51,251.649,252.441,242.452,244.764,245.92,245.598,244.008,245.001,245.475,245.621,244.487,245.602,247.704,252.809,242.95,243.666,246.777,248.023,249.168,253.859,247.46,243.232,246.748,250.286,248.774,246.016,247.687,246.458,247.808,244.434,247.434,247.627,253.506,247.875,247.372,247.331,253.472,245.281,245.717,248.071,245.108,245.076,247.644,247.093,246.97,244.247,244.37
256.299,254.684,246.952,251.6,252.091,250.713,252.806,249.061,248.884,250.481,251.433,255.295,256.299,257.201,253.965,252.008,255.899,255.327,259.72,257.186,262.062,256.873,249.408,251.597,251.678,255.72,254.464,254.653,252.486,256.11,252.851,248.549,251.805,255.225,249.165,252.889,255.261,256.028,252.553,248.68,250.888,246.659,253.017,246.356,250.986,254.365,259.547,251.976,253.358,252.024,247.946,250.011,249.621,255.066,251.873,247.601,248.7,246.306,244.611,245.362,244.692,244.052,247.692,251.365,246.516,252.413,245.861,248.955,248.027,244.68,249.346,249.244,240.753,248.046,248.561,249.734,242.239,246.431,245.466,246.384,244.347,245.865,249.113,247.243,247.479,248.086,251.79,251.87,244.57,248.158,246.633,245.683,248.346,254.099,247.776,245.05,246.104,249.949,247.645,246.542,249.729,247.08,249.035,245.609,246.301,251.332,251.522,248.878,247.325,244.762,252.467,249.13,248.051,246.698,248.65,243.72,246.014,245.862,246.742,247.141,245.677
