0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
140.035,0.0,2.16,1.215,0.0,7.971,1.56,131.137,100.073,128.811,57.738,73.779,55.96,90.315,97.443,171.848,162.482,130.546,77.722,45.008,39.006,0.0,5.196,21.693,0.0,3.078,12.52,10.168,2.57,32.507,7.502,2.592,1.288,5.269,24.111,8.058,29.441,10.56,4.427,10.268,0.464,0.47,2.605,3.474,1.704,4.296,4.506,21.133,18.258,1.436,4.168,15.223,31.647,39.101,10.133,3.177,29.306,27.458,0.0,0.0,0.0,4.996,9.358,8.546,5.769,0.0,7.778,26.802,43.431,0.0,5.514,12.15,31.265,119.394,30.457,86.737,27.786,88.754,6.881,13.681,83.308,160.187,5.133,42.676,6.334,32.816,29.099,30.488,32.644,32.57,17.837,23.732,14.095,14.157,95.193,72.142,88.399,55.172,9.515,14.781,34.603,88.989,80.406,70.026,18.425,52.862,74.926,16.604,10.766,51.195,115.921,57.122,81.878,105.745,28.166,75.286,45.176,70.602,136.483,159.321,140.035
203.888,1.647,3.57,1.971,8.704,7.825,19.282,150.423,131.442,120.825,71.191,45.637,54.285,97.765,42.203,142.784,153.227,117.58,55.465,30.659,10.606,11.951,4.108,32.436,5.875,5.722,8.832,15.153,8.459,24.117,27.097,23.401,58.882,80.214,36.65,40.972,170.237,22.859,17.71,34.52,4.002,43.192,33.294,12.804,25.68,57.862,41.281,68.643,26.454,14.782,64.04,74.338,42.821,39.576,26.093,3.722,50.105,36.907,0.0,23.623,4.28,29.007,38.467,37.944,27.532,35.33,28.657,46.359,48.814,1.335,28.987,9.621,106.965,276.97,55.622,68.539,149.883,195.15,68.818,131.996,117.502,138.259,11.265,62.057,5.284,88.235,95.547,142.667,34.836,99.634,19.517,80.293,11.819,30.727,46.303,62.002,115.642,79.109,14.252,5.589,44.735,40.136,157.779,82.353,17.322,13.811,92.608,7.139,16.463,17.507,39.746,49.095,93.169,41.119,23.449,39.301,21.724,92.975,85.961,158.259,203.888
182.36,3.989,14.6,40.53,44.106,61.384,38.813,299.895,227.631,117.293,218.359,215.183,109.671,137.272,78.645,98.782,158.651,86.633,121.84,59.263,28.81,28.056,16.103,19.834,21.35,10.771,12.264,35.138,8.104,25.738,90.001,74.096,113.258,172.448,82.486,56.556,171.179,83.718,48.038,30.948,4.506,98.984,43.241,21.27,121.862,117.643,29.794,51.697,96.611,32.073,78.527,98.829,113.115,79.291,69.134,4.727,80.052,78.739,31.326,76.127,22.179,68.841,84.693,64.668,19.455,95.249,70.048,53.191,42.355,12.456,61.844,40.778,227.607,340.736,94.526,114.855,351.928,265.608,120.968,269.372,286.178,208.411,48.227,87.041,100.106,127.901,240.658,290.483,82.087,126.462,95.579,205.339,51.238,25.589,27.99,61.948,123.968,141.719,51.349,87.079,81.707,65.651,164.734,95.736,74.853,99.389,55.654,11.477,18.545,7.788,32.401,13.102,121.255,58.613,13.384,33.308,21.583,112.884,117.687,148.648,182.36
215.455,17.845,27.115,80.829,32.597,105.532,83.553,460.436,264.525,186.213,265.773,313.924,215.195,134.121,177.807,135.472,135.185,227.996,92.102,28.138,40.011,50.337,64.944,33.358,20.953,0.0,0.0,3.275,3.592,15.188,103.438,72.202,57.329,179.333,66.673,69.988,53.644,83.104,64.308,38.383,25.721,41.194,131.297,41.038,170.087,102.877,55.601,19.628,81.665,57.148,111.168,131.625,154.58,81.525,65.622,29.437,29.843,29.364,53.751,80.234,28.921,60.474,79.193,58.023,10.325,63.922,21.84,92.687,23.161,5.467,77.961,30.095,250.524,328.365,155.399,97.793,232.91,291.165,199.48,180.782,351.067,214.89,127.632,80.556,90.159,179.18,338.135,317.674,116.995,122.198,53.71,178.881,45.573,36.933,80.347,99.249,151.538,157.105,173.559,181.903,163.026,149.213,103.566,74.122,65.573,194.434,102.505,48.246,11.671,22.701,84.285,22.14,146.094,98.504,45.728,78.761,55.123,173.913,127.601,216.003,215.455
367.697,3.831,31.866,36.369,27.242,26.91,22.588,359.766,225.832,155.7,249.974,217.029,184.723,130.973,168.601,145.841,111.046,247.474,35.042,37.314,48.289,64.43,75.555,21.498,9.263,2.638,1.747,1.258,5.216,44.598,202.672,145.827,32.025,96.915,160.491,62.917,28.88,75.774,155.439,66.965,58.982,17.3,67.04,54.295,261.187,101.168,89.913,23.273,134.723,79.153,122.655,110.539,202.11,112.547,17.831,84.923,49.411,80.28,13.118,83.139,85.216,61.856,55.008,40.611,12.285,34.39,26.55,26.683,53.795,17.931,24.913,47.224,252.495,264.58,181.769,91.939,161.406,229.154,159.215,123.692,405.853,127.84,82.296,40.857,27.694,182.707,156.467,109.987,72.256,107.469,51.784,91.362,45.93,81.656,49.324,86.665,95.217,125.101,177.549,178.219,125.026,119.51,74.513,49.364,95.238,138.957,117.775,41.737,25.176,47.257,168.897,87.324,133.149,98.247,47.984,74.443,87.508,223.989,152.28,249.712,367.697
284.839,0.0,1.044,9.825,21.426,35.373,19.184,202.12,204.79,59.224,241.101,61.716,148.753,75.754,103.024,109.808,119.011,184.536,15.65,16.565,56.606,69.466,90.786,47.962,27.502,5.782,12.727,2.52,8.131,14.839,194.486,232.32,73.627,93.097,150.483,158.871,109.778,60.871,90.861,88.162,35.332,34.126,6.467,102.939,169.403,192.789,84.311,32.994,179.809,16.266,62.503,95.576,172.218,157.05,85.666,60.585,120.986,138.245,31.013,92.623,20.934,18.236,46.075,31.272,15.154,23.296,20.882,32.873,53.337,25.621,54.177,56.356,254.007,217.453,174.167,90.744,207.485,131.431,94.932,102.848,451.738,208.668,82.314,13.684,133.072,135.733,78.592,29.176,68.784,108.823,33.606,81.525,90.396,61.108,71.501,45.811,57.122,153.53,158.396,149.746,136.015,104.702,47.276,19.933,101.492,179.319,143.346,117.9,89.265,44.202,175.534,74.468,83.069,101.876,71.548,65.864,100.01,164.993,119.804,229.134,284.839
228.722,0.0,0.0,1.946,0.0,4.577,6.098,102.242,245.921,38.956,158.723,80.782,79.057,157.915,76.684,86.839,112.773,105.872,5.228,11.896,69.141,25.993,88.45,75.693,66.272,15.006,11.551,15.825,42.666,59.702,221.883,192.184,158.637,68.544,139.35,185.131,152.132,83.539,88.983,136.154,47.594,62.63,56.459,182.495,130.056,143.435,128.601,10.597,169.814,6.91,46.495,132.171,91.286,131.498,146.941,35.764,138.416,119.876,8.613,157.28,9.245,40.087,91.108,19.843,9.676,44.359,33.358,33.012,91.257,38.701,49.878,9.978,220.129,166.582,180.05,171.528,186.407,200.835,89.518,97.608,379.839,207.599,122.16,54.498,204.42,126.072,152.895,188.308,147.353,217.406,152.208,219.742,194.625,77.588,64.813,29.968,59.448,93.623,149.72,112.128,208.732,331.313,130.97,49.444,74.791,147.942,76.916,98.586,85.335,52.682,170.502,76.076,37.864,124.843,133.825,99.791,143.043,84.133,138.337,140.985,228.722
215.899,0.0,0.0,0.0,0.0,0.0,0.213,12.403,176.634,10.752,96.962,105.792,87.32,140.465,25.568,96.671,28.092,24.536,8.012,10.634,20.717,28.309,109.596,78.616,64.43,7.654,31.463,19.759,37.998,94.168,207.601,227.381,178.616,60.307,178.309,137.062,132.592,137.923,77.304,69.867,18.279,66.192,105.626,214.73,122.914,95.296,181.325,57.734,109.747,7.496,23.421,243.831,118.883,143.621,136.68,62.424,161.278,68.778,29.794,209.4,27.335,40.249,68.284,9.968,52.411,32.364,49.307,108.721,120.644,76.732,46.535,31.589,203.895,224.759,155.206,207.36,212.612,276.973,136.802,88.178,369.926,195.829,136.682,77.935,220.109,197.651,210.175,278.665,243.512,281.216,293.613,293.139,251.073,142.031,50.042,25.135,48.515,133.855,102.61,78.766,247.869,446.18,240.69,114.103,110.736,163.371,86.253,80.556,76.857,63.611,124.512,160.357,109.827,118.62,136.757,64.586,152.608,99.788,122.923,145.083,215.899
300.458,0.0,23.75,0.0,0.0,0.0,0.0,0.0,83.589,5.8,27.823,72.148,212.82,83.069,70.992,114.616,93.548,41.28,56.52,42.16,41.147,90.414,98.222,186.178,142.279,67.413,88.298,143.388,123.001,205.385,188.296,292.461,225.219,190.481,215.234,213.147,170.46,135.05,159.948,75.048,39.533,44.781,266.613,108.029,193.295,117.473,104.569,137.849,144.071,57.183,49.027,279.57,201.129,190.677,191.415,97.106,182.33,92.328,123.868,224.857,59.964,75.893,134.413,118.756,135.309,91.704,110.967,195.307,230.341,267.82,137.564,164.454,283.718,287.694,201.203,267.92,321.878,321.147,218.688,178.705,377.328,304.794,224.372,167.614,177.328,177.729,189.956,325.362,283.472,263.168,402.141,317.491,346.814,197.956,73.691,61.931,135.995,180.866,128.295,119.972,260.247,495.775,313.705,193.713,163.372,225.577,166.203,136.936,116.173,116.066,63.619,151.557,122.531,85.916,78.263,119.979,220.256,174.851,87.94,163.676,300.458
360.064,0.0,24.801,17.665,49.435,34.573,0.063,26.593,187.676,104.454,124.91,65.156,264.09,142.953,132.777,217.139,174.928,217.042,106.688,125.312,149.244,160.176,93.6,253.291,258.877,174.694,208.8,331.499,195.664,301.33,220.593,278.888,359.571,296.777,320.345,291.755,184.977,157.078,143.184,120.453,76.691,93.472,297.172,110.406,271.21,157.729,96.939,233.99,214.632,100.426,131.494,279.421,251.355,212.103,190.521,111.664,221.402,156.237,166.068,275.564,108.718,106.683,122.951,161.626,256.647,137.818,201.159,289.556,226.526,323.613,147.709,213.035,286.233,306.608,195.127,264.971,247.528,218.102,247.442,204.825,368.553,314.392,248.827,272.055,231.361,285.551,212.557,264.429,334.356,190.067,311.863,342.054,421.953,228.513,98.304,188.873,195.192,295.596,299.422,146.777,326.143,448.25,457.864,401.979,207.936,326.844,290.667,289.069,305.419,296.73,238.957,130.071,158.995,223.224,174.736,215.834,292.695,264.534,249.107,147.04,360.064
