0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
1214.818,37.734,231.056,350.507,382.016,422.915,469.87,460.271,353.415,433.559,482.037,395.658,466.04,379.326,407.456,493.667,576.287,433.164,309.583,172.054,206.818,221.9,128.44,95.43,138.472,19.862,140.824,145.287,118.459,144.156,119.742,194.452,158.374,281.136,172.661,109.912,169.306,171.965,350.131,162.282,128.849,161.637,170.964,165.223,172.075,118.656,218.916,121.362,69.672,80.557,167.361,156.793,133.046,248.139,141.064,145.409,159.979,95.372,86.19,246.096,128.884,154.551,234.255,432.828,208.128,107.924,101.068,115.979,232.631,414.505,294.627,163.559,209.397,270.781,111.89,291.874,280.281,752.37,335.601,354.466,314.545,511.905,257.581,471.299,188.764,234.472,323.536,312.501,442.338,298.773,109.437,364.979,529.693,655.673,172.642,378.185,260.259,546.597,481.186,287.48,558.302,343.916,561.755,569.266,532.563,411.783,303.356,323.212,585.323,463.591,657.345,573.855,666.759,728.763,766.057,744.751,751.49,907.216,1144.805,1172.197,1214.818
582.606,47.398,254.333,283.107,374.554,342.059,389.312,320.729,241.404,355.461,325.273,378.429,435.726,301.782,276.638,311.452,497.269,439.248,188.734,59.929,115.453,279.855,26.487,51.89,65.311,0.374,20.059,38.724,40.621,21.947,35.873,24.811,19.466,64.899,86.469,69.463,87.234,37.14,280.466,129.579,126.319,103.991,125.019,85.553,139.647,126.99,157.968,191.825,138.063,24.737,89.858,134.644,147.667,105.125,161.516,112.356,184.598,81.902,76.347,109.422,113.294,149.79,79.151,302.972,81.401,131.559,162.461,182.661,159.243,504.469,301.915,156.23,292.749,198.527,225.009,495.864,347.238,731.511,344.102,351.018,231.514,425.62,280.487,243.819,199.777,212.045,138.116,296.129,224.334,111.96,80.064,115.494,319.862,267.517,87.871,230.005,111.069,221.566,246.982,78.634,252.96,162.884,262.631,270.937,312.413,227.759,123.901,210.287,186.477,155.854,307.25,302.35,216.087,215.66,334.575,336.618,322.323,557.089,593.322,428.821,582.606
211.314,179.017,462.917,540.069,435.031,416.941,415.008,406.557,386.145,419.931,418.798,501.075,374.631,298.613,338.066,396.283,445.54,547.635,261.249,129.296,129.208,145.569,148.107,167.947,102.094,28.016,89.135,32.095,76.108,61.953,98.371,111.906,148.098,282.509,288.98,237.042,335.0,304.787,502.585,326.099,327.572,362.15,364.213,346.261,318.531,430.109,413.933,455.73,495.992,280.906,382.69,424.113,540.5,337.449,454.041,242.309,286.531,239.852,192.863,269.311,345.766,390.146,237.767,340.853,135.249,505.738,503.015,448.024,510.631,812.933,520.824,650.867,753.216,527.837,677.622,866.743,780.356,857.097,601.111,588.309,425.243,548.973,409.018,299.159,425.057,273.101,364.127,503.735,303.076,247.015,221.561,243.99,336.382,228.163,188.335,184.846,235.425,308.636,252.681,187.855,272.143,397.056,353.014,358.631,413.065,314.71,260.464,198.308,222.899,121.031,195.209,228.34,227.666,228.444,232.119,215.505,162.155,443.255,211.942,130.378,211.314
251.597,188.061,474.544,515.586,572.564,604.342,560.588,524.85,504.785,442.768,472.147,617.997,608.402,356.587,511.363,518.383,528.87,566.091,333.926,252.205,232.555,233.926,312.976,310.51,170.24,83.897,170.29,120.054,151.111,177.642,205.461,230.075,342.282,388.583,342.771,385.376,542.977,483.261,655.421,730.001,564.995,555.505,456.975,411.093,438.883,550.827,605.768,626.36,549.905,446.621,617.948,674.999,686.505,548.546,525.426,357.669,471.673,417.361,387.92,385.446,485.867,515.63,361.047,485.165,327.74,643.163,657.292,570.095,688.441,956.677,653.326,714.149,761.752,613.999,879.871,1091.866,886.422,932.231,679.705,541.646,492.026,540.14,466.959,321.331,545.006,364.768,449.698,688.448,474.767,278.608,329.478,373.375,318.463,231.802,293.496,407.214,506.622,417.598,284.745,325.05,269.992,533.339,471.509,407.261,561.364,337.105,471.183,212.343,192.25,182.731,152.952,194.217,260.84,233.442,293.287,257.605,256.575,567.492,211.927,163.592,251.597
305.295,57.714,265.516,277.266,512.763,456.293,403.216,424.793,432.284,431.987,322.47,430.959,573.082,406.616,516.974,514.84,610.123,473.46,466.574,252.558,269.333,275.532,252.53,271.664,239.857,160.672,174.152,156.438,201.791,160.311,382.328,253.773,317.806,302.384,230.132,516.527,521.956,599.053,736.321,832.573,550.032,478.783,364.129,445.708,607.232,673.813,759.222,774.914,719.748,495.534,598.091,647.885,626.937,630.991,611.175,541.075,671.099,542.28,566.028,581.561,579.627,657.081,515.123,624.774,596.833,812.706,781.588,678.211,973.363,886.74,747.12,692.57,638.75,577.302,908.267,1264.269,903.176,1192.279,635.457,482.04,532.734,449.083,493.833,419.961,566.422,480.447,491.816,724.554,578.136,277.039,273.17,462.396,279.253,331.62,530.365,588.149,534.052,511.816,316.959,429.397,309.188,440.162,576.335,424.098,489.039,382.251,449.057,282.168,279.28,233.631,347.576,318.429,383.263,360.702,435.037,428.059,457.21,804.284,402.37,229.444,305.295
290.763,92.48,468.874,346.315,442.481,364.442,379.619,485.71,361.481,480.705,354.812,335.751,425.774,368.822,425.254,509.75,643.938,663.587,529.286,371.152,251.902,164.512,405.601,225.334,277.542,246.801,217.627,327.199,155.94,304.65,430.271,261.45,425.11,317.901,269.444,466.628,520.541,600.465,654.283,748.57,622.962,514.331,482.28,493.56,686.499,780.619,919.213,887.604,855.004,545.784,797.517,714.77,665.93,724.334,803.558,752.116,712.901,807.129,736.941,779.963,780.632,967.776,819.522,840.36,906.902,970.315,905.538,834.631,1295.035,1018.079,1051.506,836.705,809.994,842.66,1014.684,1466.14,1241.144,1411.309,712.12,597.266,580.484,589.463,650.217,593.553,471.223,613.089,573.047,594.212,631.112,478.069,346.502,474.61,364.637,497.357,605.827,645.468,543.894,538.43,465.567,341.742,396.666,434.016,458.883,485.16,456.369,407.923,406.673,296.317,230.733,284.507,373.945,272.005,343.638,481.281,428.982,498.655,487.499,735.114,315.986,226.93,290.763
274.67,228.321,490.691,476.036,469.642,493.251,466.925,665.723,529.636,508.478,457.724,397.376,469.357,439.715,549.047,700.808,798.785,733.578,708.281,388.575,302.749,221.572,490.112,271.424,373.825,275.222,355.325,374.423,234.982,270.902,419.031,448.516,447.186,420.374,375.802,491.604,530.587,498.744,759.946,640.872,584.013,482.802,647.653,547.734,604.467,957.846,908.879,1006.017,880.949,561.951,713.912,589.887,572.228,679.307,882.212,702.334,684.367,787.462,821.76,745.607,824.405,943.311,692.931,704.038,798.551,793.44,749.645,839.909,1312.006,1002.814,1277.35,929.688,860.754,876.832,1034.768,1519.075,1207.249,1185.225,755.809,473.273,572.571,583.811,583.658,522.386,549.873,586.627,567.287,532.341,393.468,580.21,309.794,376.409,389.248,470.425,519.491,431.02,602.387,466.379,559.155,284.471,238.341,345.314,271.6,436.266,318.973,297.302,334.62,266.183,185.438,282.678,180.472,170.609,191.074,338.243,291.984,469.817,483.723,371.388,197.322,194.928,274.67
94.549,174.965,443.865,450.259,385.917,516.631,509.078,596.555,443.851,478.927,477.602,466.001,435.341,434.391,479.046,780.569,768.076,724.125,734.762,513.986,263.99,271.75,509.701,381.426,435.153,284.294,397.432,485.115,299.358,321.374,391.008,499.945,474.088,493.432,373.188,409.883,465.476,487.521,606.221,429.751,494.945,443.477,595.855,537.697,591.675,686.55,746.436,628.113,741.362,497.653,559.235,374.202,420.074,627.852,918.277,466.82,593.122,694.009,818.038,671.157,665.064,653.435,549.25,571.583,523.759,642.11,528.39,620.25,962.504,663.098,1056.535,677.82,719.285,884.01,659.446,1202.414,946.847,811.27,574.46,601.689,506.063,454.548,555.524,402.725,400.853,440.891,466.59,554.085,305.093,429.933,329.595,326.547,489.768,267.515,420.356,236.131,382.737,330.884,445.449,215.493,219.415,239.427,265.83,343.255,254.017,242.045,238.749,176.313,132.741,134.493,127.987,165.018,120.905,208.148,185.355,479.951,485.971,260.156,155.303,53.165,94.549
36.277,130.012,343.246,305.155,257.219,309.461,343.265,397.244,299.711,300.174,381.612,306.988,269.336,311.663,366.017,779.639,771.641,590.586,535.301,516.026,313.471,295.936,458.608,445.899,400.494,384.302,462.989,446.211,347.181,364.742,414.996,441.273,426.937,491.201,399.729,418.135,424.191,537.76,502.959,493.179,440.631,408.06,477.199,576.409,508.796,596.348,699.053,546.985,599.173,413.726,470.445,336.08,445.141,777.294,907.206,573.348,641.645,763.007,661.709,589.61,567.033,555.407,595.654,601.465,501.402,578.986,455.217,608.734,753.375,639.52,720.485,559.783,533.689,965.356,433.345,833.832,836.833,678.133,669.896,743.21,718.764,517.712,482.651,434.457,270.837,477.292,421.993,569.12,379.882,399.045,416.941,418.482,504.354,235.794,278.994,327.979,367.848,270.232,306.852,245.519,276.884,270.464,301.69,392.969,249.437,295.174,158.296,197.7,141.464,191.631,164.01,217.331,180.136,233.02,173.04,544.958,556.211,184.445,155.748,31.542,36.277
25.475,80.68,147.177,150.087,121.554,210.235,211.444,246.667,247.693,219.809,199.575,208.652,219.19,361.653,331.924,603.262,652.545,475.001,486.006,462.072,274.921,280.29,468.347,342.816,326.365,366.094,351.831,375.978,306.378,261.265,395.038,451.179,319.412,484.458,351.775,421.506,345.498,403.918,388.549,418.765,378.807,387.984,460.712,542.178,412.051,573.097,554.478,508.716,466.669,304.932,259.914,294.099,319.874,852.119,826.863,528.175,532.199,970.233,552.118,469.8,475.908,426.747,382.103,395.073,302.445,384.267,324.593,333.948,542.741,482.658,257.057,388.145,430.415,681.456,225.316,427.876,671.671,541.252,599.668,527.981,656.094,456.362,439.016,435.989,316.288,526.691,404.504,456.178,318.618,273.669,390.377,298.277,300.372,303.998,271.961,238.765,430.857,245.086,294.137,211.675,284.267,240.235,337.142,414.442,301.446,195.78,27.381,90.753,86.611,157.23,115.786,93.162,55.977,140.784,114.87,234.76,194.171,108.51,93.735,26.531,25.475
